,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.124888525435386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429883326713345,0,0.211438162179696,0,0,0,0,0,0,0,0,0.0388242806106211,0,0,0,0,0,0.00263915986678979,0,-0.00625299646072727,0
X601628.CH.EQUITY,0,0.00412951662289449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418474556332543,0,0,0,0,0.168229358117412,0,0,0,0,0,0,0,0,0,-0.160773045823614,0,0,0.191516678787578,0.412799413801375,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298177633373898
X1299.HK.EQUITY,0,0,0.182195509932174,0,0,0,0,0,0,0,0.0886131500631273,0,0,0,0,0,0,0,0.136809405439325,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0365261062105145,0,0,0,0,0,0,0,0,0,0,0,0.292118501785189,0.0906373082281115,0,0,0.150536458713782,0,0
X2881.TT.EQUITY,0,-0.0170535822371889,0.00797372393385301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399064757964122,0,0,0,0,0,0,0,0,0,-0.0261361684432521,0,0,0,0.0430881948148796,0,0,0,0.546838157663054,0,0,0,0,0,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,-0.0140977475482985,0,0,0,0,0,0,0,0,0,0,0,0.0490037576858248,0,0,0,0.0825325397281019,0,0,0,0.132759881369102,0.125542863304391,0.028810681880116,0,0,0,-0.0776883312830594,0,-1.73472347597681e-18,0.0120667972447114,0,0,0,0,0,0,-0.114777384296649,0.574888603708828,0,0,0,0,-0.0236369665578561,0,0,0,0,0,0,0.11967898873008,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0270477808853463,0,0,0,0,0,0,0,0,0,0,0,0.0690930056900725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365698172896324,0.293819681001675,0,0.0406004466728291,0,0,0.0629810311687705,0,0,0,0
X001979.CH.EQUITY,0,0,-0.165366093747771,0,0,0,0,0,0,0,-0.10629042867899,0,0,0,0,0,0,0,0,0,0,0,-6.88306354843956e-05,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0494021219889906,0,0,0,0,-0.0301522043406325,0.380700464139151,0,0.0168644910079468,0,0,0,0,0.468948157899905,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.256001167241491,0,0,0,0,0.412138494249066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23817917796119,0,0,0,0,0,0,0,0,0,0.0412418216581144,0
X1109.HK.EQUITY,0,0,0,0.176510386514054,0,0,0,-0.159960213997425,0,0.0125795268230484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218107104983845,0,0,0,0,0,0,0.174564959716568,0,0,0,0,0.128792882283774,0,0,0.253625589331913,0.163476960272542,0,-0.0576691204517511,-0.0492707136773835
X1113.HK.EQUITY,0,0,0,0.0717718004088389,0,0,0,0,0,0,0.0698024347021699,0,0,0,0,0,0,0,0.0387515510292086,0,0,0,0,0,0,0,0,0.0211964982159371,0,0,0,0,0,0,0,0,0,0,0.091769232547838,0,-0.0389377920167238,0,0,0,0.372367271013652,0,0.225693428214419,-0.137846759571022,0.23855511733597,0,0.0222387474279501,0
X12.HK.EQUITY,0,0.0444689695621986,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0738845598290428,0,0,0,0,0,0,-0.0665097815611822,0,-0.116969338139037,0.0236375864709497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763741301404564,0.298006354561174,0,0,0,0,0,0.53369473004756,0,0,0,0.167098203795142,-0.077383219391498,0
X16.HK.EQUITY,0,-0.068627193677251,0,0,0.209000498231223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036989187146237,0,0.0124914424290345,0,0,0,-0.0413342840384896,0,0,0.292950986828184,0,0,0,-0.0100574232643102,0,0,0.0621932047392574,0.284266902826102,0,0,0,0,0.13949933456552,0,0.0875915776102062
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0959711111197902,0,0.16991337469065,0,0,0.0296665961372475,0,0,0,0,0,0,0,0,0,0.0599120553642555,0,0.0814408237732749,-6.93889390390723e-18,0,0,0,0,0,0.553188795115949,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0.150306211602572,0,0,0,0,-0.150209214847218,0,0.0100470465355348,0,0,0,0,0,0,0,0,0,0,0.215504491290588,0,0,0,0,0,0,0.0580001983200652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543716103682645,0,0.0651118492046077,0,0,0,0.0274031766774506,-1.73472347597681e-18,-0.124258719965419,0
X688.HK.EQUITY,0,0,0.110712752361718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1359936000576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104731269625708,0,0,0,0.125565688527855,0,0,-6.93889390390723e-18,0,0.226224263515249,0,0,0.298375096395721,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.268465337985607,0,0,0,0,0,0,0,0,0,0.0884160016805015,0,0,0,0,0,0,0,0,0,0,0,0,0.216973543738766,0,0,0,0,0.0998497282930594,0,0,0,0,0,0,0,0,0.704878682893984,0,0,0,0,3.46944695195361e-18,0
TED,0,-0.117199343883601,0,0,0.162091515476704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.561926160450708,0,0,-0.264571890304457,0,0.269807907795599,0,0,0,0,0,0,-0.620360151345596,0,0,0,0,0,0,0,0,0,0.371167479764735,0,0,0,0.0890030703972808,0,0,0,0.157331586598467,0,0.379001883089312
RealEstateDiff,0,-0.0493130162540304,0,0,0,0,0,0,0,-0.0616247710164151,0,0,0.241472142839121,0,0,0,0,0,0,0,0.0203174104989812,0,0,0,0,0.0452590496332412,0,0,0,0,0,0,0.155590416223717,0,-0.137325145402855,0,0,0.0214502923288942,0,1.73472347597681e-18,-0.0569316069874285,0,0,0,0,0,0,0,0,0,0.059695029919206,0
