,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X388.HK.EQUITY,0.197781553254447,0,0,0,0,4.33680868994202e-19,0,0,0,0.162396096881504,0,0,0,0,0,0,0,0,0.423666700117677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.189921382093172,0.0328193663383449,0.0806456902439762,0.055868443822987,0,0,0,0,0,0,0.0269633998794396,0,0,0,0,-3.46944695195361e-18,0
X601318.CH.EQUITY,0,0,0,0,0,0.175535312405014,0.0501660569317954,0,0.347865612272808,0,0,0.134113193974372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662605570327013,0,0,0,0,0,0,0,0,0,0.131186127619454,0,0,0,0,0,0.0345904871721077,0
X601319.CH.EQUITY,0.089862569814698,0,0,0,0,0,0,0.147278313947071,0,0,0.162375171106152,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0943652349632703,0,0,0,0,0,0,0,0,0,0,0,0.373868957028719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0.139806243682191,0.0187130427600512,0,0,0,0.089286153690263,0,0,0,0,0,0,0,0,0,0,0,0.0454666357213104,0,0,0,0,0.333528270098295,0,0,0,0,0,0.115913484581711,0,0,0,0,0,0.204626783287992,0,0,0.0425992562497365,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0.00727030139876911,0.0270045116837907,0,0,0.216558423724116,0,0,0,0.179525373005425,0,0,0,0,0,0.0193316403960557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355589618897527,0,0.0530372741441288,0.0299944225541159,0,0,0,0,0.000526740410012133,0,0,0,0,0.108888872975452,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0649990579761456,0,0,0,0,0,0,0,0.097826459389377,0,0.0257078581741321,0,0.427647809594515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02816915083421,0,0,0,0,0,0,0,0,0,0,0,0.14695191526568,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.168161062117045,0,0,0,0,0,0,0,0,0,0,0,0.0761366848785354,0,0.00101184994463291,0,0,0,0.0201443577686423,0,0,0,0,0,0,0.212007153179234,0,0,0,0,0,0,0,0,0,0,0.0802706952559067,0,0.297501320376607,0,0,0,0,0.271428824130803,0,0
X2882.TT.EQUITY,0,0.00979584352525903,0,0,0,0,0.224923976160887,0,0,0,0,0,0,0,-0.226110222384284,0,0,0,0,0.256582420036547,0,0,0,0,0,0,0,0.11871542098268,0,0,0,0,0,0,0,0.140975402227179,0,0,0.0722347430223469,0,0,0.0279392408094629,0,0,0,0.153392986300097,0.332764620636803,-0.159794675718212,0,0,0.202621636842769
X000002.CH.EQUITY,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0212574501489764,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721090989579037,0.548167177872274,0.0406883736363927,0,0,0,0,0.11831524880678,6.93889390390723e-18,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.15478170740957,0,0,0,0,0,0,0,0,0,0,0.167534169718472,0,0,0,0.0316645484603576,0.1076601525053,-0.0380226892944972,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.00146735100813383,0,0.283787311139798,0,0,0,0,0.0202309480767777,0.158016167836599,0,0,0,0
