,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X601169.CH.EQUITY,0,0,0,0,0.762581097023136,0.0442095282579058,0,0,0,0,0,0,0,0,0,0,0.0538513228318845,0,0.162964193139201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22626667007633,0,0,0.0478151698358758,0,-0.0539414338642893,0
X601229.CH.EQUITY,0,0,0,0.351029693353695,0,0.184081952760051,0,0,0.0843837617694298,0,0,0,0,0,0,0.259412463455591,0,0.0701401890659844,0,0,0,0,0,0,0,0,0.11632711927735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00915661366320359
X601288.CH.EQUITY,0,0,0.139570089986694,0,0.0158656160464042,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.184067166553952,0.514668830460135,0.0319524935174342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00478584886430572
X601328.CH.EQUITY,0,0,0.0524873233661909,0.0931121982395548,0.128688484719877,0,0,0,0,0,-1.73472347597681e-18,0.169814528484707,0,0,0.021506179050448,0,0,0,0.0818024463664975,0.238611196452017,0,0,0,0,0,0,0,0,0,0.0964249632665328,0,0,0,0,0,0,0.0772092625261103,0,0,0,0,0,0.072274947310929,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,3.46944695195361e-18,0.00402144865681412,0,0,0,0.0128910641154669,0,0,0.151748634077573,0,0,-0.02596031223959,0,0,0.325537960455632,0.246344292420982,0,0.149680991962272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0394001642794514,0,0,0.0200470588420387,0,0,0,-0.0259071513701944,0,0.0602872882490247,0
X601577.CH.EQUITY,0.0411424340906206,0.277232415396134,0.0713695184435035,0,0,0,0,0.0381307276600435,0,0,0,0.169588165070575,0,0,0,0,0,0.0587978742601202,0,0,0.128250529308083,0,0.165147934947657,0,0,0,0,-0.0401026880646885,0,0,0,0,0.0342992888739912,0,0.0352325756545852,0,0,0,0,0.0874194814534853,0,0,0,0,0,0,0,0,0,-0.101487410860806,0
X601818.CH.EQUITY,0.200596288235164,0,0.00110265872158609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248756807566983,0.176921915896345,0.0464935138178148,0,0,0.163366261912072,-0.114101542559275,0,0,0.0901173615871529,0,0,0,0.0613636989521759,0,0,0,0,0.0777479990133622,0,0,0,0.0979799040773784,0,0,0,0,0,0,0.036569703283197,0
X601838.CH.EQUITY,0.148301221278686,0,-0.0774038007927113,0,0,0,0,0.34421864734627,0,0,0,0,0,0,0,0.122495622414779,0,0,0,0,0.177077669137463,0,0,-0.109547279515008,0.281927306195521,-0.0297557874931729,0,0.0616740999726679,0,0.0321074572580227,0,0,0,0,0,0,0,0,0,0,0.0679823052403247,0,0,-0.230455066878471,0,0,0.0206083539361388,0,0,-0.00176873810657418,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.0409133673662385,0,0,0,0.0888866230515707,0,0,0,0.528540806372319,0,0,0.0324304778569293,0,0,0,0,0,0,0.0273288586040328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0459781318014381,0,0.15607095935609,0,0,0
X601988.CH.EQUITY,-0.141631525641422,0,0,0,0,0,0,0,0,-0.0183614000839453,0,0,0.216293153936497,0.431963826108854,0.202052723534401,0,0,0,0,0,0,0.0787710916708211,0,0.123633881860877,0,0,-0.109847739229684,-0.0775740131881435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156680801988117,0,0,0.0936315419687045,0,0,-0.0832310681765364,0.0335831853629148,0
X601997.CH.EQUITY,0,0,0,0.1452649292061,0,0,0.0174412464427749,0,0,0.155058383416136,0,0.148155302074187,0.116631262615091,0,0,0.280238491827595,0,0,0,0,0,0.0990425490091692,0.0157806903189967,0.0267372874069703,0.155194591161548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170498961493029,0,0,0,0,0,0
