,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601066.CH.EQUITY,-0.158613591720887,0,0,0,-0.0231276306589513,0,0,0,0,0,-0.138235805245054,0,0,0,0,0,-0.378202936251919,0,0,0,-0.0893004003275726,0,0,0,0,0,0,0,0.170342170731133,0,0,0.264313599852757,0.295382181480137,0,0,0,0,0,0,0,0,0,0,0.458605676001469,0,0,0,0,-0.0398563224495833,0,0,0
X601229.CH.EQUITY,0.41858404544126,0.227536067314911,0,0,-0.00115030288515015,0,0,0,0,0,0.126068068015256,0,0.0475969695928732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690272860330842,0,0.015605456412007,0,0,0,0,0,0.151182477303408,0,0.152683302033083,0,0,0
X002142.CH.EQUITY,0,0.24035189135368,0.252564836882486,0,0,0.0946826043857982,0,0,0,0,0,0.0791147506297782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0379443380554641,0,0,0,0,0,0,0,0,0,0,0,0.207544929599332
X601169.CH.EQUITY,0,0,0,0,0,-0.0128315117725657,-0.144317884522361,0,0,0,0,0,0,0,-0.0661829886907405,0.0455023980318928,0,0,0,0,0,0,0.0561032946119463,0,0,0,0,0,0,0,0,0.10224451912755,0,0.61807896387398,0,0,0,0,0,0,0,0,0.909158805773385,0,0.0782538824523279,-0.140754306213802,0,0,0,0,0.0320783438557802,0
X600015.CH.EQUITY,0,0,0,0,-0.399083555235382,0,0.289645051394345,0,0,0,0,-0.185926213399296,-0.400351671613945,0,0,0,0,0,0,0,0,0,0.439731412432551,0,0.585624799485399,0,0,0,0,0,0,0,0.0794382543095136,0,0,0,0,0,0.00734126660366103,0,-0.0986060680585645,0.28117909029221,0,0,0,0,0,0,0,-0.0497469459273598,0,0.160136990023992
X000166.CH.EQUITY,0,-0.111233705317434,0,0.0462796590780561,0,0,0,0,-0.0325970219769487,0,0,0.250719166166155,0,-0.0235394808755546,0,0,0.186826261044621,0,0,0,0,0,0,0,0,-0.0553864026283239,0,0,0,0,0,0,0,0,0,0.320399014389389,0.247426689303197,0,0.074146064710793,0,0,0,0,0,0,0.266660194785858,0,0,0,-0.077221897709771,0,0
X2882.TT.EQUITY,0.0356051465174939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101297777907977,0,0,0,0,0,0,0,0,-0.0368886613395436,0,0,0,0,0,0,0,0,0,0,0,-0.102248270746709,0,0.177147792950431,0,0,0,0,0,0,1.03355839538792,0,-0.033066289438053,0
X002736.CH.EQUITY,-0.200411405394923,0,0.100410315918661,0,0,0.0136096216324729,0,0,0,0,0,0,0,0,0,0.02444741307302,0,0.0229136417464537,0,0,0.0393228539821639,0.298140920445692,0.0290113371963534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202579106415779,0,0,-0.0155147624508158,0.0691834986634239,0,0,0.358854722228095,0.0946187732691275,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0.0489794591529381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0553492924765029,0,0,0.00236156389207855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484320307131222,0.0101427217670985,0,0.0714679700217195,0,0,0.0129662544931564,0,0.101610806980515,0,0.334885515337007,0,0,0,0,0,0
X17.HK.EQUITY,0,0,0,0,0,0,0,0.226805330533298,0,-0.00291075748986836,0,0,-0.160523004634269,-0.0577209034309324,0.0290693801741293,0,0.144018267258032,0,0.0723149712498519,0,0,0,0,0,0,0,0,0,0,0.315646897872968,0,0.16291570815897,0,0,0,0,0.123649541004049,0.11901878326448,0,-0.0808120666865205,0,0,0,0.0139760060829199,0,0.152491885528962,0,0,0,0,0,-0.0803791731260304
X2881.TT.EQUITY,0,0,0,0,0.063269202431118,-0.129815010612362,0,0.257209595456215,0,0,0,0,0,0.166428469641806,0,-0.363565907685884,0,0,0,0,0,0,0,0,0,-0.0592281546539399,-0.13320667747126,0,0,0,-0.262838004524563,0,0,-0.163400108194149,0,0,0,0,0,0.218589827358153,0.196180958237544,0,0,0,0.390869188161808,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193369168905325,0,0,0,0,0.255548407777388,0,0,-0.0828648964420209,0,0.0156262287798449,0,0,-0.0519029352661697,0,0,0,0,0,0,0,-0.00313770742066623,0,0,-0.0928872404098235,0,-0.0265913236922275,0,0,0,0,0,-0.693829786919919,0
VXFXI.INDEX,0,0,0,0,0,-0.0326076479647457,0.0107044659868838,0,0.0390409056376504,0,0.102688343693501,0,0,0,-0.0445656215123225,0,0,0,0,0,0,0,0,0,0,0,-0.0492451796499128,0,0.00110877716803587,0,0,0,0,0,0,0.0527464396926121,0,0,0,0,-0.0613014768573713,0,0,0,0,0,0,-0.0479624524662088,0.00914331558365519,-0.944061956893481,0,-0.0622919796978254
CN2YR,0,0,0,0,-0.274083669996569,0,0,0,0,0,0,0,0,0,-0.0702481865276368,0,0,0.347374504461592,0,0,0.0873970800838863,0,0,0,0,0,0,0,0,0,0,0,0,-0.257076215995724,0.381860474002913,0,0,0,0,0.0293593161039119,0.0319949705722024,0,0,0,-0.0907284281346545,-0.0221931188036755,0,-0.248433830057613,0,0,0,0
