,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601169.CH.EQUITY,0,0,0,0.188157308135251,0,0,0.163575285118586,0,0.0658744076957773,0.0887656690133814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266491089256968,0,0,0,0.174185334325838,0,0.00666438366034781,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051101586423876,0,0,0.0750160882030501,0,0,0,0,0.213043916858226,0,-0.0269671977474625,0,0,0,0,-0.013793098675959,0,0,0,0,0,0.203159904591131,0,0,0,0,0.011996246199225,0,0,0,0,0.129520980234394,0.182806014951314,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.046268996289935,0,0,0,0,0,0,0,0,0,0,0,0.354443708386955,0,0,0,0,0,0,0,0,0,0,0.0379000531747269,2.77555756156289e-17,0.00626982259032576,0,0,0.167987941416709,0,0.191663965641778,0,0,0,0,0.0714223200526127,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.314537180166001,0,0,-6.93889390390723e-18,0,0,0,-0.170896166370536,0,0,0,0,0,0,0,0,0.401205905850506,0,0,0.12554591638189,0.0293623922786948,0,0.00205319657071123,0.0188124132515125,0.0342674948866538,0,0.0857900065671933,0,0,-2.77555756156289e-17,0.19235287443364,0.0245679094954867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139455709527909
X000166.CH.EQUITY,0,-0.0541440427460953,0,0,0,0,0,0,-0.00552072841860329,0,0,0,0.0744524796131394,0,0,0,0,0,0,0,-0.0877251991221897,0,0,0,0,0,0,0,-0.024714786876089,0,-0.0837269217837853,0,0.0540306723522307,0,0,0.482119359614773,0.596898990072891,0,0,0,0,0,0,0,0,0,0.0122843969059077,0,0,0,0,0
X2882.TT.EQUITY,0.03139620382677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154614431552548,0,-0.0292858419491154,0,0,0,-0.0573866759952553,-0.0659698034786866,-0.113446669096538,0,0.133365301598576,0,-0.287484334683393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645177554169833,-0.226995118340219,1.16970967531386,-0.0630399561850912,-0.166955073417327,0
X17.HK.EQUITY,0,0.321315629028477,0,0,0.0998404746269509,0,0,0,0,0,0,0,0.18146137053332,0,-0.116640778098454,-0.0419087219917381,0,0.0717054103050226,0,0,0.218469638126397,0,0,0,0,0,0.0796210171627221,0,0,0,0,0,0,0,0,0,0,0,0,-0.233534468179353,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0
X002736.CH.EQUITY,0,-0.0389623166246682,0,0,0,0,0,0,0,0,0,-0.000171636875308759,0,0.0335344853114355,0.190496289548777,0,0,3.46944695195361e-18,0,0,0,0,0,0.300592661820557,0,0,0,0,0.111586764763709,-0.0639853189472128,0,0,0,0.00808799416741239,0,0,0,0,0,0,0.456865872140668,0,0,0.023453481968665,0,0,0,0,-0.0382955563003243,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.00655492766430332,0,0,0,0.0116653963402569,0,0,0,0,0,0,0.367655611452977,0,0.0383592043828005,-0.0117545364578315,0,0,-0.026991438281405,0,-0.00187896817462642,0,0,0,0,0.328522311088054,0,0,0,0.0421892240690615,4.33680868994202e-19,0,0.196717359230279,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327543566870536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0827152626721687,0,0,0,0,0,0,0,0,0,0,0.967152680966372,-0.0553145053647841,0,0,0,0,0.159349167982172,-0.0289804033228074
FXI.US.EQUITY,0,0,0,0,0,0,3.46944695195361e-18,-0.0313003220753423,0.0884121035536646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102588457098576,0,-0.0280783680406256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724874464062715,0,-0.938419866403211,3.46944695195361e-18
VXFXI.INDEX,0,0,0,0,0,-0.107104856675939,-0.00731603868027688,-0.0966588891944487,0.0493726237355922,0,0,0,0,0,0,-0.0802670314601623,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.11627565871576,0,0,0,0,-0.0297492276387147,0,0,0,0,0.190887916730471,0,-0.0826487398384065,0,0,0,-0.0730226293047338,0,0,0.100275178786727,-0.764249188943311,0,-3.46944695195361e-18
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10329955008995,0,0,0,0,0,0,-0.518411309734902,0,0,0,0,0,0,0,0,0,0,0,0.225423498815629,0,0,0,0,0,0,0,-0.134862483312047,0
