,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X600048.CH.EQUITY,0,0,0.0995814992841348,0,0,0,0,0,0,0,0,0,0.12278901502757,0,0.121663382053929,0,0,0,0,6.93889390390723e-18,0,0,0.165328399583642,0.00821894366007228,0,0,0,0,0,0,0,0,0.119698808908403,0,0,0,0,0,0.0687362710932201,0,0,0,0,0,0,0,0,0,0,0,-0.216518476928905,0
X601211.CH.EQUITY,0,0.034475573520066,0,0,0,0,0,0,0.00454159449917373,-0.00989798375140324,0,0.030401579549251,0,-0.0199849653316442,0,0,0,0,0,0,0.038599268383866,0,0,0.509410312038316,0,0,0,0,0.0694551090596807,0.0469757829688359,0,0,0,0,0,0,0,0,0.0316180105669363,0,0,0,0,0.16985158830556,0.0444575673229622,0,0,0.158195533517112,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.015547247705676,0,0,0.0604594476663265,0,0,0.183487083426218,0,0,0,0,0,0.195782312852268,0.211408302877318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563445901147765,0,0,0,0,0,0,0,0,0,-0.0242642882753524,0,0.183636889609284
X1997.HK.EQUITY,0,0,0.0682972127640184,0,0,0,1.73472347597681e-18,-0.110900079349642,0,0,0,-0.200642767763469,0.132185385623782,-0.119524615155622,0,0,0,0,0,0,0.0161417855819315,0,0,0,0,0.12758404414161,0,0.179852141454527,0,0.375891149840048,0.271070664080168,0,0,0,0,0,0,0,0,0,0,0.210176228948213,0,0,0,0.15466047424348,0,0,0,0,0,0
X601066.CH.EQUITY,-0.171563204963071,0,0,0,-0.0264519780256405,0,0,0,0,0,-0.0956169365990446,0.106549538738938,0,0,0,-0.365341611448045,0,0,0,0,-0.0673767381082435,0,0,0,0,0,0,0,0.167467845372225,0,0.278107282961898,0.252707663555836,0,0,0,0,0,0,0,0,0,0,0,0.396584114747087,0,0,0,0,-0.136266542072632,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.0193480861492684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553234275804397,0,0,0,0,0,0,0,0.19114231937731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307172555608278,0,0
X002142.CH.EQUITY,0,0,0.0204466316227897,0,0,0.0393814903320893,0,0.137698942316554,0.0821800859860517,0,0,0,0,0,0,0,0,0,0,0,0.149785181701761,0,0,0,0.277787867890977,0,0,0,0,0.0195971183684112,0,0,0,0,0,0.220904333434803,0,0,0,0,0,0,0,0,0,0,0,0,0.0836736059882991,0,0,0
X601229.CH.EQUITY,0.343276858989486,0,0,0,0,0,0,0.257250952993588,0,0,0,0,0,0.159486292059435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830354259858433,0,0,0,0,0,0,0,0.0685094444770316,0,0,0,0,0,0,0,0.148343685769697,0.0980213368935146,0,0,3.46944695195361e-18
X601169.CH.EQUITY,0,0,0,0.000380480205802025,0,0,0.0115312808603838,0,0.0447195008549332,0,0.0154289498488684,0,0.0525303335711277,0,0,0,0,0,0,0,0,0.119170865554355,0.376652973847269,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.268144156710807,0,0,0,0.0510775784030225,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,-0.099604060705547,0,0,0.296185616847848,0,0,0,0,-0.0177451204243976,-0.36969571838826,1.38777878078145e-17,0,0,0,0,0,0,0.332765150851887,0.602713516309907,0,0,0,0.0859989743278869,0,0,0,0,0,0,0,0,0,0,0.0202328203969155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181770161524707
X000166.CH.EQUITY,0,-0.125070380465582,0,0.0214986517149266,0,0,0,0,0,0,0,0.168088983292916,0,0,0.00396551050534597,0.188806920331563,0,0,0,0,0,0,0,0,0,0,-0.15687740269552,0,0,-0.015047278476783,0,0.045769948757219,0,0,0.509837780051747,0,0,0.0430808562535663,0.112843238839799,0,0,0,0,0,0,0,0.269019891886907,0,0,0,0,0
X2882.TT.EQUITY,0.0398110103636712,0,0,0,0,0,0,0,-0.22363080542731,0,0,0,0,0,0,0,0,0,0,0,-0.170379878832433,0,0,0,0,0,0,0,0,0,-0.0573379954614734,0.0776754412538138,0,-0.123134891250911,0,0,0,0,0,0,0,0.480905149680212,0,0,0,0,0,0,0.947840002019333,0,-0.158885846561034,0
X17.HK.EQUITY,0,0,0.0577810102954682,0,0.232897240046614,0,0,0,0,0,0,0,0.141285057369619,0,0,0.0442833808218253,0,0,0,0,0,0,0.0302785498238528,0,0,0,0,0,0,0,0.107381985814304,0,0,0,0,0,0.403860166549673,0.070301192810657,0,0,0,0.000238041379026827,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0.0532536072903433,0,0,0,0,0,0,0,0,0,0,0.01863598978272,0,0,0,0,0,0,0.372249082531665,0,0.0152256484723499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910658844944247,0.420632606539789,0.0250536890065007,-2.16840434497101e-19,0,0,0.076938067223171,0,0,0
X600999.CH.EQUITY,0,0.029824260875958,0,0,0,0,0,0,0,0,0,0.0109118934512345,0,0,0,0,0,0,0.0687970268857512,0,0,0,0.00908668734476215,0,0,0,0,0,0,0,0,0,0,0,0.472034857281671,0,0,0.0664029904932411,0,0,0,0.0196102516192579,0,0.0818303151270677,0,0,0.328557262646829,0,0,-0.0107105019107801,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.299065762073589,0,0,0,0,0,0,-0.0385422615121381,0,0,0,0,0,-0.104217812903285,0,0,0,0,0,0,0,-0.0995826449150666,0,0,0,0,0,0.0391147336554288,0,0,0,0,0.647039575815087,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.0408480693678526,0,0,0,0,0.0444074572193658,0.0899106902201896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.104433548620895,0.064092315478619,0,0,0,0,0,0,0,0,0,0,0,-0.883474051493979,0
VXFXI.INDEX,0,0,0,0,0,-0.00542213640643637,0,0,0.0129662927908438,0,0,-0.0260141118503595,0,0.113144328792007,0,0,-0.0566054409079464,-0.0957554182255928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153123197839562,0,0,-0.101636589003457,0,-0.155954611056465,0,0.0429673535447358,0,0,0.0218993828717454,0,0,0,0.0657392576904821,-0.965973546644717,0,0
CN2YR,0,0,0,0,-0.268294569299504,0,0,0.0785122989963977,0,0,0,0,0,0,0,0,0,0,0,0,0.00892974606644939,0,0,0,0,0,-0.173898948903078,0,0,0,0,0,0,0,0,0.154670439834718,0,0,0,0,0,0,0.0460420779984434,0,-0.183461068330132,0,-0.0716797806210309,0,0,0,-0.148458703187058,0
