,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X1997.HK.EQUITY,0.144693109458408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703185740542584,0,0,0.0842792939815183,0,0,0,0.0704173204946949,0,0,0,0,0,0,0,0.123515071493286,0,0.381233996872592,0,-0.240924672756935,0,0.0510344745332709,0,0,0,0,0,-0.0248849276918051,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0.0415319665147395,0,0,0,0,0,0,0,0,0,0,0,0,0.20666296464956,0,0,0,0,0,0,0,0,0,0,0.0626470784566713,0,-0.0190698663469662,0,0,0,0,0,0,0,0,0.0203289530323553,0,0,0,0.0436850383523265,0,0.0846727354985126,0,0,0.535136708690461,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.475930845323391,0.166651088613637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606562230106564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30804876961345,0,0,0,0,0,0.018702641687432
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00323926777925354,0,0,0,0,0,0,0,0,0,0,0,0,0.0842904551627553,0,0.000458569808034521,0,-0.0411490097843636,0,0.24208566688843,0.031648664243904,0,0,0,0,0,0,0.014521917160031,0,0.0852427078769037,0.0173277813809212,0.156903597191462,0,0,0,0.282294063323129,0,0,0.0673022717297937,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.170759261543457,0,0,0,0,0,0,-0.0451214357843822,0,0,0,0,0,0,0.291790102618489,0,0.113973363441383,-0.061476012623646,-0.113995637318146,0,0,0.00774907294966667,0,0,0,0,0.669794959451234,0,0,0,0,0,0,0.106937448864657,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0.326107209725153,0,0,0,0,0,0,0,0,0,0,0,0,-0.018025040145541,-0.1352469474321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00733246696444104,0,0,0,0,0.27280602442673,0,0,0.208599067174379,0.541696301452111,0,0,0,0.0370934646894867,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149261164932707,0,0,0,0,0.0116913741683184,-0.0409334974001508,0,-0.00405309365654588,0.360662824634699,0.156591508434545,0.296218221645005,-0.147708242548012,0,0.174478742688327,0,0,0,-0.123615950148635,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119560229869562,-0.0291894564729878,0,0.0472412349054528,0,0,0,0.47987530142662,0,0,0,0,0,0,0,0,0,0,0,0,0.00884198549565688,0,0.0731926577092595,0,0,0,0,0,0,0,0.255682570605371,0,0.0492180638521082,0,0,0,0,-0.0149877743554014,0
FXI.US.EQUITY,0,0,0,0,0,0,0.00429492539921296,0,0,0,-0.00591242120709495,0,0,-0.145561023778454,0,0,0,0,0.0180853545790037,0,0,0,0,0,0,0,0.0150200265840986,0.0445141284524803,0,8.67361737988404e-19,0,0,0.000571959072442696,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.00955806350472574,0.0717060289671784,0,-0.0736727421208515,0,-0.877589043850555
VXFXI.INDEX,0,0,0,0.00718900761471589,0,0,0,0,0,0,0,0,0,-0.168413028308621,0,0,0,0,0.000429550777697563,0,0,0,0,0,0,0,0,0,0,-0.0261803107969888,0,0,-0.0102062702235191,0,0,0,-0.0111011533738328,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06802491899828,0
