,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0152572585786947,0,0,0,0,0,0.00171497061932848,0.107101533431767,0.165700605339142,0,0,0,0,0,0.0768016287774048,0,0,-0.147960738028936,0.243077489304817,0,0,0,0,0,0,0.286244180765713,-0.00162498562247607,0.0912169492208339,0,0,0,0,0,0,0,0,0,0,0.102509814214411,0,-0.0982768610207833,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.273911976786109,0,0,0,0.0548592680047279,0.130083043381264,0,0,0,0,0.141210463251609,0,0.00467515523392324,0,0,0,0.0325441590092803,0.0335252248819175,0,0,0,0,0.382601788809971,0,0,0,0,0,0,0,0,0,0,0.00799461874952507,0,-2.16840434497101e-19,0,0,0,0,0,0
X12.HK.EQUITY,0,-0.0846800847253754,0,0,0,0,0,0,0,0,0,0,0,0,0.380846748759516,0,0,0.619487076714595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0413427401759326,0.00445947392904719,0.0239773947576158,0,0,0.0670058679672944,0,-0.134882798512523,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0482638571746911,0,0,0,-0.00983828783731268,0.2745075469733,0,0,0,0,0,0,0,0,0,0.243110812508038,0,0,0,0.0881624773990606,0,0,0,0,0,0,0,0,-0.0299666863303786,0,0,0.0297112676980633,0,0,0,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,-0.0640716510619018,0,0,0.0661364916592211,0,0.0548545931497641,0,0,0,0,0.0748206150548603,0,-0.0315598564616655,0,0,0,0.00825938312444055,0,0,0,0,0,-0.10297496262824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58613256069058,0.192843926667998,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207448913948666,0.768135097538734,0,0,0,0,0,0,-0.214517489144031,0,0,0,0,0,0,0,0,0,0,-0.0249265657418753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228729003596854,0.247345176567031,0,0.0169538494564676
X600837.CH.EQUITY,0,0,0,0,-0.0469049948298822,0,0,0,0,0,0,0,-0.0777765246201257,0,0,0,0,0,0,0,0,0,0.183378292932511,0,0,0,0,0,0,0,0,0,0.150107527326948,0,0.042884393664692,0,0,0,0,0,0.239750570178158,0.0200381503925275,-0.0681111454644171,0.0728862433642813,0,0.0531331100177851,-0.0476717217270645,0,0,0.338622115141956,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.316000384904517,6.93889390390723e-18,0,0,0.0478609919249471,0,0,0,0,0,0.0328738369542229,0.194928791374452,0,0,0,0,0.210658511451081,0,0,0,0.0321411992664941,0,0,0,0,0,0,0,0,0,0,0,0.0147918328335355,0,0.0711919241347605,0,0,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0.170623315257973,0,0,0,0,0,0,0,0,0,0.0075349980788962,0.736676990282288,0,0,0,0,0,0,0.0245698612211879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151768654916398,0,0,-0.21010818535272,0,0,0,0,0,0,0,0.122412196318331,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049969611184836,0,0,0.158977291044489,0,0,0,0,0,0,0.00419331511555159,0,0,0,0,0.339363168842693,0,0,0,0.202858821214599,0,0,0,0,0,0,0,0,0,0,0,0,0.0756017258065792,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.189133972865334,0,0,0.547383912893418,0,0,0,0,0,0,0,0,0.159140758882327,0,0,0,0,-0.322778643538621,0,0,0.00779543699952809,0,0.137356482417797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375817129169492
X600999.CH.EQUITY,0,0,0,0,0.0972644854140833,0,0,0,0,0,0,0,0,0,0.0510434358014715,0,0,0.140236571406884,0,0,0,0,0,0,0,0,0,0,0,0,0.0534660037390096,0,0.451555456715433,0.0471163113701814,0.123266849130269,0,0,0,0,0,0,0,0,0.156826533099445,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0214205547421668,0,0,0,0,0,0,0,0.131809611211894,0,0,0,0,0,0,0,0,0,0.110070665993865,0,0,0,0.0643994194367602,-0.0209612601032607,0,0,0,0,0,0,0.191940965553921,0,-0.0262880791238275,0,0,0,0,-0.0684083181397614,0.223644832263627,0,0,0,0,0,0,0,0.0123672340857592,0.442081096173161,0,0,0
X2881.TT.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0.0995337039587155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220203833168589,0,0,0,0.0187589917835863,0,0.496634793837115,0,0,0,0,0,0,0,0,0,0.292923721422213,0,0,0.160977732736068,0
X2886.TT.EQUITY,0,0,0,0,-0.0803304651043668,0,0,0.0438982453426741,0,0.0815657651436298,0,0.266354256486606,0.059161672918176,0,0,-0.140278264582239,0,0,0,0,0,0,0,0,0,0,0,0,0.0938921056928086,0,0,0.162345702868131,0,0,0,0,0,0,-0.0116446903800798,0,0,0,0,-0.0448677812924558,0,0,0.480548530437887,0,0.0202838331760204,0,0.18501979234231,0
X600015.CH.EQUITY,0,0.145864452994523,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.258264053446659,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109095371204725,0,0,0,0.263837456815696,0,-0.0430401283317018,0,0,0,0,0,0,0,0.200712182406781,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206994519186937,0,0,0,0,0.18058265549607,0,0,0,0.0405342657032743,0,0,0,-3.46944695195361e-18,0,0,0,0.165371414329324,0,0,0,0.00192422781800473,0,0.000412760831802052,0.265310781292292,0,0,0,0.152976340744322,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,-0.135806651775741,0,0,0,-0.148849267078395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167472949523096,-0.120744390510442,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104060230165113,0,0,0,0.185377137187173,0,0,0,-0.840326766829063
VXFXI.INDEX,-0.0530060873864818,0,0,0,0,0,-0.04150017799184,-0.131501999807827,0,0,0,0,0,0,0,0,0,0,0,0,-0.0936438383345179,0,0,0,0,0,0,0,0.250821344450056,0,0,0,0,0,0,-0.138565044242681,0.0381312531469529,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.854256571743903,0
