,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X600837.CH.EQUITY,0.00532438387663343,0,0,0,0,0,0,0,0.206847835540087,0,0,0,0,0,0,0,0,-0.059604490792518,0,0.178040900818398,0,0,0,0,0,0,0,0,0,0,0,0.0771898991022128,0,0,0.00275329882795658,0,0,0,0.135828153043761,0,0,0.132828495590872,0.0508988081585252,0,0,0,0,0.176693566689722,0,0,0
X601229.CH.EQUITY,0.461957792669987,0,0,0,0,0,0,0,0,-0.0497484820737529,0.0772967149893651,0.150228231474216,0,0,0,0,0,0,0,0,0,0,0,0.166559639913777,0,-0.239004387796642,0,-0.0142210965931304,0,0,-0.0520021329086616,0.0417729780910563,0,0,0,0,0.0900000107904639,0,0.0787094001755987,0.113991564403868,0,0,0,0,0,0,0,0,0.248975162669755,-0.181291832438592,0
X601066.CH.EQUITY,-0.025674895727764,0,0,0,-0.226025046962433,0,-0.207937075358632,0,0,-0.0823675489735462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420015672246066,0,0.0350371760342362,0,0.0948132205434543,0,0,0,0,0,0,0,-0.314759439294517,0,0,0.216292930884946,0,0,0.0134523099169632,0.13253430274276,0,-0.104589867784015,0,0
X002142.CH.EQUITY,-0.00167975641558015,0.487049529651674,0.260997339444436,-0.0631643986734774,-0.0409394761800546,0.00670570883591209,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0.0838716262994049,0.340363909412042,0,0,-0.0546464440287168,-0.212872651667524,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0999388799275454,0.00736309703700576,0,0,0.0420536040338257,0,0
X1997.HK.EQUITY,0.328856027305412,0,0,0,0,0.074668550677976,0,0.184240615846282,0,0,0,0,0,0,0,0.0330799160133934,0,0.248302830727025,0,0,0,0.140139959924041,0,0,0,0,0,0,0.0046686909605362,0.520419371395003,0,0,0.0463306831667419,-0.178758014494786,0,0,-0.00337095053534581,0,0,0,0,0,-0.146548025540958,0,-0.102986484938624,0,-0.0165597364862454,0,0,0,0
X000166.CH.EQUITY,0.0613824881738846,0,0.0132986591895243,0,0,0,0,0,0,0,0,0,0,0.0971974236366204,0,0,0,0,0,0,0,0,0,0.0172155233017256,0,0.114718862461768,0,0.0223601008152425,0,0,0,0,0,0,0.0802345092999582,0,0,0,0,0,0,0,0,0.0257658584605617,0,0,0.106468823541646,0.455530079397052,0,-0.0479844369234315,0
X002736.CH.EQUITY,0,0,0.000993836318769953,0,0,0,0,0,0,0,0,0.0933048760733573,0,0,0,0.266550449279014,0,0,0,0.056078508028186,0,0,0,0,0,0,0,0,0,0,0.0679931124677371,0,0,0,0,0,0.14329070829398,0,0,0.128301099867266,0,0,0,0,0,0,0,0.219671821649901,0,0,0
X600015.CH.EQUITY,0,0,0.0121872161630593,0,0,0,0,0,0,0,0.0197541082964199,0.149670227708334,0,0,0.0225242167470368,0,0,0,0,0.181352932886671,0,0,0.193889850717401,3.46944695195361e-18,0,0,0,0,0,0,0.0659231160587551,0,0,0.0448097817688893,0,0,0,0.00831624750068341,0,0,0,0,0,0,0,0.435829804896265,0.0498055724511975,0.0281138982523536,0,0,0
X2882.TT.EQUITY,0,0,0,0,0.0103620088106173,0,0,-0.019403075684426,0,0,0,0,0,0.0388058115569736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11940145962603,0,0.129183634059991,0,0,-0.0380179810978052,0.171305303112336,0,0,0,0,-0.0961309492969285,-0.149836766675893,0.11508211003907,0,0,0,0,0,0.0847328681572142,0.260921413656627,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,-0.579284292646473,0,0,0,-0.0484029921081069,0,0,0,0,0,0,0,-0.076329171808923,-0.0157336463450526,0,0.00916336623381754,0,0,0,0,0,0.201468537946922,-0.039097697011926,0,0,0.33638437635372,0,0.286289487079524,0,0,0,0,0.0224825241231702,0,-0.116474995989699,0.947635375886403,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0.0203460659388678,0,0,0,0,0,0,0,0,0,0,0,0.01482791288793,0,0.0991697242514603,0.186939645943999,0,0,0,0,0,0,0,0,-0.0339025460427453,0,0,0,0,0,0.379489444597882,0,0,0.0860819870664851,0.162391267605603,0,0,0,0.100253755358642,0,0.0379881366022023,0,0,0.158522665251641,0,-0.0637379618191851,0.0140347823607224
X300059.CH.EQUITY,0,0,0,0,0,0,0,0.0683458815172262,0,0,0,0,0,0.12092239528614,0,0,0,0,0,0,0,0,0,0.148169178553532,0,0,0,0,-0.0651891785891113,0,0,0,0,0.103323554154095,0,0,0.426387316085948,0,0,0,0,0.0110234809528387,0,0,0.0425447033454198,0,0,0,0,0,0.0606369921049845
X2881.TT.EQUITY,0,0,0,0,0,0,0.258359550625972,0,0,0,0,0,0.0858863911157781,-0.653277212724134,-0.121419024540382,0,0,0,0,0,0,0,0,-0.0389374645702052,0,0,0,0,0,0,-0.273104897887502,0,0,-0.119045247577176,0,0.550965424410317,0,0.303135354278763,0,0.316084092918242,0,0,0.0758890213166831,0,0,0,0,0,0,0.327584063269508,0
FXI.US.EQUITY,0,0,0,0,0.0136605165743089,0,0,0,-0.0209153523943121,0,0,0,0,0,0,0,0,-0.013438601659637,0,0,0,0,0.24590063866032,0,0,0,-0.0447095183920358,0.008693048441464,0.0841232161144709,0,0,0,-0.035946073969659,0.00252457823704192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.667603678470439
VXFXI.INDEX,0,0,0,0,0,-0.00130436054468988,0,0,0,0,0.142074465214921,0.0413466633777109,0,0,-0.0404166051582078,0.0157425771921878,0,-0.00861143936817884,0,0,0,-0.0710781410203995,0,0,0,0,0,0,0,0,0,0,0,0.0203316485906201,0,-0.0173637802121493,0,0,0,0,0,0,0.0493583254342467,0,0,0,0,0,0.0150422381900133,-0.807502211969341,0
