,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136796162205202,0,0,0,0,0,0,0.112221472300827,0,0.92074966549049,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0285241968213015,0,0,0,-0.120304936873592
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101111856351705,0,0,0,0.0611789186441908,0,0,0,-0.178840213075137,-0.0198287791992202,0,0,0.150828022611216,0,0.0785215736107252,0.502279903127018,0,0,0,0,0,0,0,0,0,0,0,0.137253336458886,0,0.243373659085268,0,0,0,-0.0966799861511184,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.264780725151666,0,0,0,0,0,0,0,0,0,0.11363262360312,0,0,0.095359386772739,0,0,0,0.0158163879619087,0,0,0,0,0,0,0,0.108819664172212,0,0.0471007980468813,0,0,0.0608127879108535,0,0,0,0.0382446715044355,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0.0445258489377201,0,0,0,0,0,0,0.0889311235387126,0,0,0.208499780354589,0,0.170586391937876,0,0,0,-3.46944695195361e-18,0,0.0137493690374534,0.191215971244238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449004801336368,0,0,0,0,0.198718846454555,0,0,0,0,0,-0.00347130795925311,0,0,-0.0397569070255662
X601336.CH.EQUITY,0,0,0.151439799212871,0,0,0,0,0,0,0,0,0,0,0,0,0.0332149901163309,0,0,0,0,0,0,0.0662357893652328,0,0,0,0,0,0,-0.0306044658536387,0,0,0,0,0,0.0724044448948257,0.0682463968836852,0,0,0,0.0440909556127072,0,0.435426369522461,0.151404934152025,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.206949845506514,0,0.112314779589767,0,0,0.150760467225631,0.057252850701437,0,0,0.0339731888503509,0,0.0184233022716915,0,0,0,0,0,0,0,0,0.0213591707789689,0,0,0.0622705221289621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609730314420475,0,0.0844067156328878,0,0.195213672636305,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0151418690787226,0,0.109093432637535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112031315237632,0,0.205833188899669,0,0,0,0,-0.0852373784472305,-0.0169955327755053,-0.105450222042421,0,0.12109904754695,0,0,0,0,0.247793328618959,0,0,0,0,0,0,0,0,0.100210794402656,0,0,0.0947738870636258,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.124078942527895,0,0,0,0,0,0,0,0,0.0486274355586339,0,0,0,0,0,0,0,0,0,0,0,0.0114947044138133,0.0549421860116106,0.00288048689704117,0,0,0,0.112779909843549,0,0,0,0,0.179277467614293,0,0,0,0,0.321714352502833,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133410952899624,0,-0.027813036346845,0,0,0,0,-0.0553370179627196,0,0,0,0,0,0,0.228781602412941,0,0,0.175868172481168,0,0,0,0,0,0.0699469052972021,0,0,0,0,0,0.443325866722444,-8.67361737988404e-19,0,0,-0.00342022046157979,0
X2882.TT.EQUITY,0,0,0,0,0,0,0.0192772356454779,0,0,0,0,0,0,0,0,0.187365916084452,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.157864635373046,0,0,0,0,0,0,0.0428815654997998,0,0,0,0,0,0,0,0.413194544932816,0,0.269253835657907,0,0,0.0181192029300182,0
X2883.TT.EQUITY,0.142278074935707,0,0,0,0,0,0,0.0446774773343317,0,0,0,0,0,0,0,0,-0.30348953851342,0.199194294473213,0,0,0,0,0,0,0,0,0,0.27582305661445,0,0,0,0.316064172439331,0.0257550947289628,0,0,0,-0.0141043291081628,0,0,0,0,0,0,0,0,0,0.155959725737192,0,0.0683221239748087,0,0,0.0466457731108358
X2888.TT.EQUITY,0,0,0,0,0,-0.233017414434583,0,-0.00761723338122415,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0837204106196984,0,0,0,0,-0.0501494743187716,0.00118718113236507,0,0.13880007449238,0.160880481512557,0,0,0,0,0,0.197933325191576,0,0,0,0,0,0,0,0,0,0,0,0,0.448725467872617,0,0,0,0
X267.HK.EQUITY,-0.0564090414858677,0,0,0,0,0,0,0,0,0,0,0,-0.105079770306024,0,0,0.322647207152638,0,0,0.0217910554420402,0,0,0.0607858304750832,0,-0.329434483568641,-1.38777878078145e-17,0,0.251584623050601,0.00467020201530176,0,0,0,0,0,0,0,0,0,-0.373665906219286,0,0.414029675799388,0,0,0,0,0,0,0.148893741943682,-0.134748751600403,0,0,0.254076703634087,0
MKRturn,0,0,0,0,0,0,6.93889390390723e-18,0,0.199325474286982,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0753042541991585,0,0,0,0,0,0,-0.00402111050855799,0,0,-0.0760551368396872,0,0,0,0,0,0,0,0.0181233575581859,0,0,0,0,0,0.145206920433157,0,0,0,0,0.138349894306088,0,0.0279814993753266
TED,0,0.0130797321414422,-0.0364179653661807,0,0,0,0.270646549120219,0.0847157042005498,0,0,0,0,0,0,-0.091523644585249,0,0,0,0,0,0,-0.0895345010692259,0,0,0,0,0,0,0,0,0,-0.0911789619712956,0,0,0,0,0,-0.190085570265804,0,0,0,0,0,0,0,0,0,0,0,0.0131176158059476,-0.0805147952395867,0
