,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601169.CH.EQUITY,0,0,0,0,0.254402573134121,0,0.027424551600572,0,0,0,0,0.269716317034298,0,0,0.0497290390130965,0,0.240848386706484,0,0,0,0,0,0,0.162576912860404,0,0,0,0,-0.0967992244827545,0,0,0,0,0,0,0,0,0,0,0,0.0163911089030621,0.0426159302570621,0,0,0,0,0,0,0,0,-0.0276888547062785,0
X601229.CH.EQUITY,0,0,0.278824186377998,0.116280468228714,0,0,0,0,-0.0471686664474868,0,0.218281847319954,0,0,0,0.00789711574192931,0,0,0,0,0,0,0,0,0,0.0329823079723191,0.0235081244335294,0.0213742522006058,0,0,0,0,0,0,0,0,0,0.224118011136805,0,0,0,0,0.0392097697233448,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122477187054502,0.0115892521645975,0,0.0372617945693525,0,0.571816655446965,0.0468609953487229,0,0,0,0,0,0,0,0,0,0,0.156610875659502,0,0,0,0,0,0,0,-0.224298457934452,0,0,0,0,0.100480603450688,0,0,0,-0.273023497969361,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0555013378446285,0,0,0.0525932519899,0,-1.73472347597681e-18,0,0.453720158181341,0,0.230989637588346,0,0,0.0628105366749585,0,0,0.0111073888017509,0,0,0,0,0,0,0,0,0,0,0,0,0.0485883373094874,0,0,0.0948090570709452,0,0,0,0,0,0,-0.148931441784885,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.160940660630503,0,0,0,0,0,0,0,0,0,0,0.00562115887158972,0.845405359018818,0,0.154989305354416,0,0.0984596629031532,0,0.0129017607442878,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311531787271904,0,0,0,-0.375055777990734,0,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.160363224125421,0,0,0,0,0,0,0,0,0,0.131685938733023,0.142147188294755,0.18824286577116,0,0,0,0,0,0,0,0,0,0,0,0,0.1067648033748,0.0973386288910095,0,0,0.0541281735598372,0,0.0357601866903747,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.433857708603604,0.434745227857934,0,0,0,0,0,0.0666361914276214,0.00736673635501787,4.33680868994202e-19,0.079100482467074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804738536210728,0,0,0.0381783828207473,0,0,0,0,0,0,0,0,-0.0259051123193697,0
X601838.CH.EQUITY,0.0209249432775908,0.192872044373878,0,0,0,0,0.1074027764664,0.0560554624730416,0,0,0,0,0,0.0807168394604146,0.248272138984115,0,0,0,0,0.0567154489569195,0,0,0,0,0,0,0,0,0,0,0,-0.0956812566773572,0,0.0301110731899482,0,0,0,0,0,0,0,0,0,0.202101794595501,0,0,0,0,0,0.023930179100417,-0.0478708514691198,0
X601939.CH.EQUITY,0,0,0,0.0605762961483973,0,0,0,0,0.259329882863392,0,0,0,0.172949943654046,0,0.262137545416567,0,0.309153124441047,0,0,0.0311426304012501,4.33680868994202e-19,0.100149594398128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305218809412294,0,0,0,0,0,0,0,-0.0801564709321692,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.132255130084157,0,0.104733621965451,0,0,0,0.347417155576832,0,0,0.160075661870389,0,0,-0.048389851339479,0,-0.0146779099201254,0,0,0,0,0.207207459786462,0,0,0,0,0,0,0,0,0.13096049656778,0,0,0,-0.18147641009641,0,-0.0293182962033608,0,0,0,-0.06511015913084,0.186798305227549
X601998.CH.EQUITY,0,0.0331817878349508,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0932103747969378,0,0.00254533154550938,0,0.20374533176268,0,0,0,0.279250192164459,0.0786102036935565,0.0938379355616362,0,0,0,0,0,0,-0.0308943646736703,0,0,0,0,0,0,0,0,0,0,0,0.0639805379364479,0,-0.0909189589531492,0,0,-0.0810075148036905,0,0.0138841759553814,-0.0594152085518934
X601658.CH.Equity,0.302149207245741,0,0,0,0,0.455061239561651,0,0.0560968253230096,0,0,0,0,0,0,0,0.0153433938738672,0,-1.38777878078145e-17,0,0,0,0,0,-0.129105961998355,-0.0305234785312425,0,0.0133595413692438,0,0,0,0,0,0,0,0,0,0.0473383786246909,0,0,0,0,0,0,0.070856122222854,-0.200689997799045,0,0,0,0,0,0.0588548838702887,-0.0764685898931565
X601916.CH.Equity,0,0.112059552885521,0,0,0.08126411202821,0,0,0,0,0,0,0,0,0,0,-0.0259087061182886,0,0,0,-0.14048352279041,0.312460041474498,0,0,0,0.03890369890221,0,0.080854244821996,0,0,0,0,0,0,0,0,0,0,0.211814876196665,0,0,0,0.0706244421464654,0.0877845000798156,0,0,-0.107547859778178,0.0322443822484054,0,0,0,-0.0683984839848047,-0.28371130259715
X601077.CH.Equity,0,0,0,0.0864096710223338,0,0,0,0,0,0,0.368406020196822,0,0,0,0,0.0785643480182733,0,0,0,0,0,0,0,0,0,0,0.104753927708512,0.0129466469169946,0,0,0,0,0.026578259266019,0,0,0.0192966339700148,0,0,0,0,0.156237948327428,0,0,0,0,0,0,0,0,0.0155168094392526,0,0
X11.HK.EQUITY,0,0,0,0,0,-0.03311943015918,0,0,0,-0.247006617591377,0,0,0,0,0.119071295182641,0,-0.0102574050726191,0,0,0,0.12621962825177,0,0,0,0,0.496529131136091,0.223168504430181,0,0,0,0,-3.46944695195361e-18,-0.0421221845802142,0,0,0,0.0860894325857801,0,0,0,0,0,0,0,0.231293752788151,0,0,0,0,0.179335269169499,0,-0.0277597831975719
