,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601319.CH.EQUITY,0.160683357722384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288916604206998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182818331638893,0,0,0,0,0.177180108492526,0,0,0,0,0,0,0,0.395889483708235,0,0,0,0,0,0,0.0311075344697477,0
X601336.CH.EQUITY,0,0.0419446409928474,0,0.445701788634472,0,0,0.016706061316933,0,0,0,0,0,0,0,0.0445448810840339,0,0,0,0,0,0,0,0,0,0,0,0,-0.0794083090666978,0,0,0,0.244731092925523,0,0,0,0.0267460278703964,0,0,0,0,0,0,0,0,0.0551219597971871,0,0,0.174638216031149,0,0,0,0.0512330910472349
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.498074688895895,0,0,0,0,0,0,0,0,0,0.0283242169738272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189112703236205,0,0.0084547986942964,0,0,0,0,0.0855769922786936,0.203347981408537,0,0,0,-0.00397466075331265,0
X601628.CH.EQUITY,0,0.0646022361212873,0,0,0.230645795956643,0,0.0571348019197618,0,0.0199335348410304,0,0,0,0,0.312270202893882,0,0,0.00336255078968391,0,0,0,0,0,0,0.116856585490047,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0280852609986016,0,0,0,0,0,0,0,0,0,0,0,0.0121486066743913,0,0.191324161089087,0,0,0,-0.051572448013525,-0.192868862365364,0,0,0,0,0,0,0,0,0,0,0,-0.011107023154811,0.486175143374199,0,0,0,0.0662784339985177,0,0,0,0,0.439297379712752,0,0
X2881.TT.EQUITY,0,0.0169302718996722,-0.0663831040043831,0,0,0,0,0,0,0,0,0,0,0.26571673638361,0,0,0,0,-0.158071548179384,0,0,0,0,0,0,0.0488386950103296,0.0649405844548391,0,0,0,0,0,0,0,0,0,0,0,-0.160674103593297,0,0,0,-0.0503483161113405,0.397368947436584,0,0,0,0,0.47422602004457,0,0,0.200742845280727
X2882.TT.EQUITY,0,0,0,0,0,0.018075839406842,0,0,0.0895395248930854,0,0,0,0.0222501648628235,0,0,0,0,0,0,0,0.226873176067108,0,0,0,0.168786128065103,0,0,0,0,0,0,0,0,0,0,0,0,0.0402777760624934,0,0,0,0,0,0.128667628800592,0,0,0,0.23222864977677,0,0,0.0425159103852377,0
X267.HK.EQUITY,0,0,0,0,0.0273531803836302,0,0,0,0,0,0,0,0.277705454613895,0,0,0,0,0,0,0.0126493622171441,0.0474100694275585,0.0516597165922181,0.365040224094334,0,0,0,0,0.0804237876516983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628396974130048,0,0.0369717383572291,0,0,0.0516597544179502
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125838741158161,0,0,0.235610485403745,0,0,0,0,0,0,0,0,-0.072508804581538,0,0,0,0,0,0,0,0,0,0.111809865847616,0,0,-0.0700842441449014,0,0,0,0,0,-0.0806357088014559,-0.176894795333837,0,0,-0.0181467202818603,0,0,0.199671362801112
RealEstateDiff,0,0,0.159773840224031,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0918495876001139,0,4.33680868994202e-19,0,0,0,0.702063065018779,0,0,0,0,0.0912860291952755,0,0,0,0,-0.538647134720344,0,0,0,0,0,-0.11825859615298,-0.061166967274477,0,-0.100825228717537,0,0,0,0,0,0,0,0.074054213420876,0.0166267630185296,0.0680737298813277,0,0,0.0648591573375649,0
