,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X600030.CH.EQUITY,0,0,0,0,0.211525751499228,-0.0502433797166602,0,0,-0.387741153464931,0,0.0943359534965374,0,0,0.0274818622552371,0,0,0,0.0137761324632703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395351207733658,0,0,0,0.137857914246842,0,0.0933307701151493,0,0.0981176140606652,0,0,0.186557391171673,0,0,0,0,0,0,-0.0310554289818012,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0415698539187169,0,0,0,0,0,0,0,0,0,0,0,0,0.00711124182378365,0.218660859415448,0,0,0,0,0.00474044204726477,0,0.133574560454649,0,0.187722549877545,0.341329827192384,0,0,0,0,0,0,0,8.67361737988404e-19,0.182314093578858,0.0958102894111037,0,0,0,0,0,0,0.0915116527564153,0
X600958.CH.EQUITY,0,-0.0298798945355172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476605316744559,-0.0116582375141995,0,0,0,0.0206161588722046,0,0.231038729419814,0.295894225487321,0,0.289156236263507,0,0,0,0,0.0418295900118886,0.0452609023377937,0,0,0,0,0.176564784110733,-0.0578874816068666,0,-0.107336746414461,0,0,-0.184909882202439,0
X600999.CH.EQUITY,0,0,0,0,0,0.608325364603612,0.104893407632776,0.0359403455397714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200564755543647,0,0,0,0,0,0.317620579309797,0,0,0,0,0,0,0,0,0.0429750854656904,0,0,0,0,0,0.0382181676210817,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.055942575285207,0,0,0,0,0,0,0,0.114489057366862,0,0.0121127574567814,0,0.413625202117705,0.0308488503156748,0.205557912093122,0,0,0,0,0,0,0,0,0.100408513653765,0,0,0,0,0,0,0.152133179749451,0.176214347566235,0
X601211.CH.EQUITY,0,0,0,0,0.0222181262630751,0,0,0,0,0,0.00358329967081611,0,0.333921155571679,0,0,0,0,0,0,0,0,0.1645600311401,0,0,0,0,0,-0.0383434108181145,0,-0.0735397480409564,0.0816662317004334,0.0807544268834557,0,0,0.552913467861591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203225162347704,0,-0.0273135796111106
X601688.CH.EQUITY,0.0878479971893245,-0.302988995776557,0,0,0,0,0,0,0,0,0.121996291730982,0,0,0,0.0638557692839971,0,0.0228483810174361,0,0,0,0,0,0,0,0,0,0,-0.0442518316936922,0,0,0.819425179032881,0,0,0,0,0,0,0,0,0,0,0.157276566705399,0.0156048682730682,0,0,0,0,0.149111302515175,0,0,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0.0290506059568336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0789131339186982,0,0,0,0.177605560562007,0.345558592142241,0,0,0,0,0,0,0,0,0,0,0.218780682131831,-0.0394157132550454,0,0.121011441086728
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0.0777149402973429,0,0.17062049462925,0,0,0,0.306266199052308,0,0,0.148312550585148,0,0,0.0276518352019851,0,0,0,0,0,0,0,0,0.0598395461334208,0,0,0,0,0,0.0567429474681311,0,0,0,0.034468678299853,0,0,0.102384370935945,0,0,0,0,0,0,0.222468896431064,0,0.0707317077705568
X000627.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0585558475980505,0,0.118636033765833,0,0,0,0,0,0,0.0905092916396028,0,-0.024261913480851,0,0,0,0,0,0,0,0,0,0.179553982226291,0,0,0,0.410656954218667,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0405164609826118,0,0,0.0432971240378657,0,0.0169832442316505,-0.134642721629126
X601318.CH.EQUITY,0.386545438225727,0,0,0,0,0,0,0,0,0,0,0.149966103639083,0,0,0,0,0,0,0,0,0,0.00203351544428106,0,0,0,0.0118398761031961,0,0.0970971662727077,0,0.07680792883995,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0644996348306112,0,0,0,0.0507774699015873,0,0.156431364901216,0.0135756665814923,0,0,-0.103126571975934
X601319.CH.EQUITY,0,0,0,0,0.242470673237762,0,0,0,0,0.254228957216101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178161553361239,0,0,0,0,0,0,0,0,0.142573878945544,0,0,0,0,0,0,0,0,0,0,0.0112588257507002,0.179401013108963,0,0,0,-0.0911504593028614
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412372906227213,0,0,0,0,0,0,0,0,0.215996839784126,0,0,0,0,0,0,0,0,0.100185350283455,0,0,0,0,0,0,0,0,0,0,0.302414597298781,0.184420690725231,0,0,0.02025310834448,0,0,0,0,-0.0852065798656753
X601601.CH.EQUITY,0,0,0,0,0,0.0445208508507042,0,0,0,0,0,0,0.0259248543940643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379353734739225,0,0,0,0,0,0,0,0,0,0,0,0.0168441243862298,0,0.274552278952588,0,0.224364871663603,0,0,0,0
X601628.CH.EQUITY,0.0960917110350012,0,0,0,0,0,0,-0.157195236029365,0,0,0,0,0,0,0,0,0,0,0.381578301323426,0.130820382673137,0,0,0,0,0,-0.00658277546362986,0,0,-0.0309062024524689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210247649721563,0,0.0341776799892863,0,0,0,0.0127280279327954,-0.13419847250658
X1299.HK.EQUITY,0,0,0,0.214435829588424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128198342422817,0,0,0.198923377809293,0,0.0411031283398598,0,0,0,0,0,0,0.142333260399645,0,0,0.0628837542165701,0,0,0,0,0,0,0,-0.133512369679481
X267.HK.EQUITY,0,0.177213407701983,0,0,0,0.361960253059795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176067247249685,0,0,0,0,0,-0.228905635830159,0.578271860750594,0,0,0,0,0,0,0,0,0,0,-0.0132051627915042,0,0,0,0,0,0,0,0,0,0,0
TED,0,0,0,0,0,0.12029759762778,0,0,0,0,-0.0446877664911781,0,0,0,0,0,-0.22056789542903,0,-0.00293424900135182,0,0,0,0.0865743591795809,0,0.141891609729746,0.0296397646845963,-0.0729028312649716,0,0.0232137770245954,-0.0579025458790009,0,0,0,0,0.143008023812324,-0.00895857560039393,0,0,0,0,0,0,0,0.134608951314123,0,0,-0.268541228808979,0,0,0,0,0.0366700204373049
RealEstateDiff,0.071661495926636,0,1.38777878078145e-17,0,0.209805083816103,0,0,3.46944695195361e-18,0.117983668693075,0,0,0,0,0,-0.200789231034816,0,0.159277231127766,0,0.100285780063859,-0.140972036068893,0,0,0,0,0,0.0345486362664404,0,0,0,0,0,0.617688126314219,0,-0.0660983494307956,-0.289737076708599,0,0,0,0,0,0,0,0,-0.0543168470013768,0,0,0,-0.365653736629805,-0.0642715744256697,0,0,0
