,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0869847310471717,0.706954991922666,0,0,0.0264496263523909,0,0,0,0,0,0,0,0,0,0,-0.176828239194305,0,0.0307956690205849,0,0.131116038975822,0,0,0,0,0,0,0,0,-0.0766493566774886,0.179249656942013,0.171916765704227,0.0236796531484961,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.103602504913769,0.129106359404379,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.120706616314108,0.265998764658822,0,0.096685833163563,0,0,0,0,0,0,0,0,0,0.133262686726727,0.038532705926152,0,0,0,0,0,0,0,0,0,0,0,0,0.108413282370311,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0934254825722522,0,0,0,0.195793823170793,0,0,0,0,0.121207468409049,0,0,4.33680868994202e-19,0,0,0,0,0,0.17506419499091,0,0,0,0,0,0,0.174085607287556,0,0,-0.00960006090219861,0,0,0,0,0.138581126969664,0.0513507860486605,0,0,0.123142307247365,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507192962928894,0,0,0,0,0,0,0,0.174381201755838,0,0,0,0,0,0,0,0,0,0,0.120354808102115,0,0,0,0,0,0,0,0,0.0540650486203518,0,0,0,0.00514553123632818,0.3723919278712,0
X2882.TT.EQUITY,0,0,0,0,0.117292433187989,0,0,0,0,0,0,0.238246012190567,-0.0837434444636649,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137633167448168,0,0,0,-0.230988742353471,0,0,0,0,0,0,0.0586438626472066,0,0,0,0,0,0,-0.0621025366855779,0,0.514972814488134,0,0,-0.102896454339456
X600015.CH.EQUITY,0,0.4173801699848,0,0,-0.0562566310351461,0,0,0.288486661240452,0,0,0,0,0,-0.118983197018167,0,0,0.0822890533766395,0,0,0,0,0.299165556159711,0,3.46944695195361e-18,0.0197095808412938,0,0,0,0,0,0.0477472188510738,0,0,0,0,0,0,0.191391897237768,0,0,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,-0.0427673937696425,0,0,0,0,0,0,0,-0.000724339807699915,0,0,0,0.0177304987103368,0,0,-0.0293659474948441,0,0,-0.0204011101018206,0,0,0,0,0,0,0,0,0,-0.0721884899149519,0,0,0,0.3072207886697,0,0.694690537395032,0.0363128572226544,0,0,0.101506304234835,0,0,0,0,0,0,0,0,-0.000318494355360152
X17.HK.EQUITY,0,0,0.113411892200564,0,0,0,0,0,0,0,0,0,0.0443555484067962,0,-0.0570706067428639,0,0.0216751320020943,0,0,0.202980445232939,0.171131699175002,0,-0.139740603142861,0,0.0399892143749709,0,0,0,0.0309633129989431,0.024549458615732,-0.0939311418564595,0,0,0,0,-0.142896844400856,0,0,0,0,0,0.142767743626311,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0832481254392178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47797851590104,0,0,0,0,0,0,0,0,0,0,0.084801569142544,0,0,0.017059690670514,0.164403677433222,0,0.0582193707572417,0,0,0,0,0.0541427841940649,-1.38777878078145e-17,0
X2881.TT.EQUITY,0,0,0,0,0.0988684269229635,0,0,0,0,0.0354350614499424,0,0,0,0,0.211641122634919,0,0,0,-0.00890993090233414,0,0,0,0,0,0.0241873442639026,0,0.217365621201205,0,0,0,0,0,-0.148689173801378,-0.235654061606056,0,0,0,0.00104888323789007,0,0,0,0.751169679298921,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00411549562655435,0,0,-0.00383555062340192,0,0,0,0,0,0,0,0,0.351828945387058,0,0,-1.35525271560688e-20,0,-0.00755883021322105,0,0.057164597258131,0,0,0,0.158110172404124,0,0,0,0,0,0.158846511445579,0,0,0,-5.42101086242752e-20,0,0,0,0.320653730570214,0
X000776.CH.EQUITY,0,0,0,0,0,0,0.0523899251630786,0,0,0,0,0,0,0,0,0,0,0.160963649818228,0,0,0,0,0,0.45872040336609,0,0,0,0,0,0.0347990636708764,-0.0295555658632627,0,0,0,0,0,0,0,0.0289567301700948,0,0,0,0,0.279132826154138,0,0.0320567232072049,0,0.0142175967528896,0,0
macro_return_add,0,0,0,0,0.193018023075777,0,0,0.249882020217225,0,0,0,-0.0880192312520476,0,0,-0.238788843238305,0.457129829023665,0,0,0,-0.334346905250759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10234648043777,0,0,0,0,0,0,0,0,0,0,-0.30167713104749,0.0575806177528985,0,0,0,0
