,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X1109.HK.EQUITY,0,-0.135346135418443,0,0.0302996257026243,0,0,0,0,0,0,0,0,0.199022860142604,0,0,0,0,0,0,0,0,0,0.109238376891757,-0.0154665979509724,-0.0406185566221151,0,0.0490527372471727,0,0,0,0,0,0.321672261089427,0,0,0,0,0,0,0,0,0.196266775298006,-0.0352461832814553,0,0,0,-0.0895891063686848,0,0,0.145837982409601,0
X2007.HK.EQUITY,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0840904281141854,0,0,0.357401499179304,-0.175880725717958,0,0,0,-0.0674756307767472,0,0,0,0,0,0,0,0,0,0.192693525058872,0,0.0520406161860677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525058573017181,0,0,0.127962553266767,0
X688.HK.EQUITY,0.47749688212761,0,0.10431137537809,0,0,0,0,0,0,-0.101896626191556,0.0662212306497113,0,0,0,0,0,0,0,-0.169116529877289,-0.448353530502676,0,0,0,0,0,0,0,0,0,0,0.47992620123788,0.192272640706891,0,0,-0.00367079949916137,0,-0.0841744119519522,0,0,0,-0.111444839956563,0,-0.100367445993736,0,0,-0.0109351727916493,0,0,0,-0.139641509102212,0
X601688.CH.EQUITY,0,0,0,-0.0434273688838734,-0.134447640631725,-0.095793463565138,0.1290645638276,0,0,0,0,0,0,0,0.220596892848494,0,0.0281248359333014,0,0,0.116745237085377,0.0102679402060376,0,0,0,0,0.269549310875295,0,0,0,0,0,0,0,0,0,0,0.382996847381358,0.0405373615705045,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0532584437367966,0
X267.HK.EQUITY,0.122053254990181,0,0,0,0,0.0274682105555938,0.110918279482255,0,0,0,0,-0.0236572400216647,0,0,0,0,0,0,0,0,0,0,0,0.107977228573509,0,0,0,0,0.211234084231044,0,0.0437064345562816,0,0,0,0,0.146380905837235,0,0,0.561812471140791,0,0.062569509607943,0,-0.490972336489365,0,0,0,0,0,0,0.00241788635266501,0
X600837.CH.EQUITY,0,0,0,0,0,0.0605676906394627,0,0,0,0,0,0,0,0,0.681348944609364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0681132692581004,0,0,0,0,0.168423265121636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0.0972766979282628,0,0,0,0.0450874802223046,0,0,0,0,0,0,0,0,0,0,0,0.160534007556077,0.0219378893472559,0,0,0,0,0,0.0248353913877844,0,0,0.0657764320363909,0.0630749957858198,0,0,0,0,0.31729022590762,0,0,0,0,0,0.104072635105539,0.0230755154057739,0,0,0,0.0804732149636668,0,0.14479895634676,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.08430170179851,0.533707369347304,0,0,0,0.11347550531937,0,0,0.178266441022446,0,0,0,0,0,0,-0.0258205189688775,0.110640259972659,0,0,0,0,0,0,0,0.0397364701177299,0,-0.0326129490283705,0,0,0,0,0,0,0,0,0,0,0,0.0283569422155441,0,0,0.0225712203623802,0,0,0.244056032076216,-0.086807711232675
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0.136035255197795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0750202175536607,-1.0842021724855e-19,0,-0.0851612655905603,0.0192946328270338,0,0,0,0,0.0739442883007872,0,0,0.0127909396688503,0,0,-0.0218810460155891,0.400456947122585,0,0,0,0,0,0,0,0,0.215317164918479
X002736.CH.EQUITY,0,0,0,0.09604167809979,0,0,0,0,0,0.125861686464127,0,0,-0.0555043881647263,0,0,0,0,0,0,0.217723794972914,0.0109534661801176,0,0,-0.0451882336452011,0.0225408286631595,0,0,0,0,0,0,0.12000791352405,0,0,0,0,0.172287362413688,0,0,0,0,0,-0.0127821318862359,0.232301603487778,-0.117254680337615,0,0.385817809098417,-0.157748041156889,-0.210105207154586,0.0526309224049698,0
