,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,macro_return_add
X601336.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0.0660731413024242,0,0,0,0,0,0,0,0,0,0,0,0.495654304860839,0,0.142754434893525,0,0,0.036710714027999,0,0,0,0,0.00126455163052399,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946427083706441,0,0.0672840667744205,0,0.0601890794492696,0,0,0
X000166.CH.EQUITY,0,0,0,0,0.0519336224102673,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0170455479334842,0,0,0,0,0,0,0,0.0662701685396909,0,0,0,0,0,0.00224464583182392,0,0,0,0,0.106982688619373,0,0.544883048103227,0,0,0,0,0.0412639973676506,0,0.0677331081711393,0,0.104640721539966,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.00562519358794736,0,0,0,-0.0219401381593036,0,0.159813220569162,0,0,0.0890055872556762,0,0,0,0,0,0,0,0,0,0.126466349098322,0,0,0,0,0,0,0,0,0.521755801061225,0,0.0389439658196554,0.0706187685241439,0,0,0,0.039063689563318,0,0,0,0,0,0,0.0200330563828044,0,0,0
X001979.CH.EQUITY,0,0,0,-0.0299987833897556,0.0899137218842447,0,0,0,0,0,0,0,0,0.017796714681601,0,0.760758469102859,0.055091525960932,0,0.0487098015047535,0,0,0,0,0,0,-0.070065312711512,0.0550166786459317,0,0,0,0.0376248051358122,0,0,0,0,0,0,0,0,0,-0.10289598672699,0,-0.0330890245646158,0,0,0.0511506373011838,0.0505250936578677,0,0.0857681540372479,0,-0.0534805948209999
X600999.CH.EQUITY,0,0,0,0,0,-0.280047840979202,0,0,0,-0.0486397000832026,0,0,0,0.0130520884507362,0.350550439157114,0.754539118759731,0,0,0,-0.0427876043153124,0,0,0,0.117966378649018,0,0,0,0,0,0.0564022949130821,0.192527901654059,0,0,0,0,0,0,0,0,-0.942650368580274,0,0,0,0,0,0,0,0,0,0,0
X12.HK.EQUITY,-0.190126238312526,0,-0.0814003495546594,0,0,0,0,0.255233145065583,0,-8.67361737988404e-19,0.520919968936276,0,0,0,0,-0.037115054537081,0,0,0,0,0.454331951215364,0,0.0836208876298927,0,0.124589396294712,0,0,0,0,0,0,0,0,-0.0418230812533987,0,0,0,-0.103555505879905,0,0,0,0,0,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.0513307458296527,0,0,0.0724172689304709,0.0524938529856965,0.234246836604069,0,0,-0.0476238727711724,0,0,-0.349770712983986,0,0.180807129452095,0.13517760342383,0,0,0.362251441987138,0,0,0,0,0,0,-0.13383382003533,0,0,-0.0891209074682631,0,0,0,0,0,0,0,0,0,0,0,-0.1267013474079,0,0,-0.0958061530018355,0,0.557281347699873,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0.197268718825879,0,0,0,0,-0.0197839713343514,0,0,0,0,0,0,-0.0161908720999157,0,0,0,0.0145456937741089,0,0,0,0.0211497968472861,-0.201403551725972,0.100321315171451,0,0,0.145773888519504,0,0,0,0,0,0,0,0,0,0,0.258232096285552,0.0755090947115069,0,0
X601229.CH.EQUITY,0.723014500465691,0,0,0,0,0,0,0,0.487922263809441,0,0,0,0,0,0,0.00375683050719338,0,0,0,0,0,0,0,0,0,0,0,-0.255962882123969,0,-0.149577822718641,0,0,0,0.132428925725051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711725162580528
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774579850084171,0,0,0,0,0,0.420398944564477,0,0,0,0,0,0,0,0,0.210428062400716,0,0,0,0,0,0,0,0,0,0,0,0,0.39223510200331,0,0
X002736.CH.EQUITY,0,0,0,0,0.210679147989605,0,0,0,0,0.0374319745769658,-0.0593697915320905,0.509273703250909,0,0.131702397593609,0,0,0,0,0,0,0.0422569427667385,-0.0401532364503509,0,0,0,0,0,0,0,0,0,-0.0333902535564484,0,0.295923592503356,0,0,0,0,0,0,0,0,0,-0.00272113604817606,0,0,0,0,-0.080072733554227,-0.048499116082887,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471251097906165,0,0,0.0232926656445213,0.245027515955681,0,0,0,0.0279464914580956,0,0,0,0,0,0,-0.114691457793398,0.282941760356767,0.0378272582837622,0,0,0.0626895789098155,0,0,0.0305761575973194,0,0,0,0,0,0,0,0,0,-0.0223668667692949
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0.0393441551081526,0,0,0,0,0,-0.270393649001414,0,0,0,0,0,0,0,0,-0.0253851899239623,0,0.0200414808036166,0,0,0.0623665649666564,0,0,0,0.348390380638096,0,0,0,0,-0.0401402690490043,0,0.134584212920789,0,0,0.327986435175545,0.111413051125515,0,0,0,0,0,0.185193517802709,0.106032233075099
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213221342339955,0,0,0,-0.0186023134265964,0.108453790672866,0,0,0,0,0,0,0,-0.127360936072079,0,0,0,0,0,0,0.809029969313004,-0.0179335539555781,0,-0.000876256182419967,0,0,0.0429235263501979,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,-0.157626626043147,0,0,0,0,0,0,0,0,0,0,0,0.0114758751553235,0,0,0.0645522816544724,-0.0127665470569575,0,0,0,0,0,0,-0.08449300257984,0,0,-0.136489093348316,0,0,0,0,0,0,0,0,0.141897564921395,0.200557713166674,0,0,0.175072013528137,0,0
