,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0209248961311027,0,0,0,0,0,-0.0603397038442366,0,0,0,0,0,0.239792843366016,0.0894398811996128,0,-0.220780420755688,8.67361737988404e-19,0,0,0,0,0,-0.0670819229299008,-0.239475312883936,-0.0817110838898685,0,0.144662535796072,0,0,0.324702487876512,0,0,0,0,0,0.029681003856133,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,-0.291837688506714,0,0,0,0,0,0,0.00356557022270134,0,0,0,0,0,0,-0.545936600974865,0,0.914268025447137,0,0,0,0,0,0,0,0,0,0,0,0.0892212343931114,0,0,0.145844251570288,0,0,0,0,0,0,0,-0.0545628938511623,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,-0.143770657154497,0,-0.11194908657,0,0,0,0.0970531126642412,0,0,0,0,0,0,0.0225569685537357,0,0,0.412248326207555,0,0,0.150049887653346,0,0,0.0295210007753133,0,0,0,0,0.0664996348563383,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0347574886035144,0.211661187247822,0,0,0.0703773359846153
X601211.CH.EQUITY,0,0,0,0,0,0,0.0503488342308945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479615278069345,0,-0.0019046988380395,0,4.33680868994202e-19,0,0,0,0,0.112719670824416,0.246232725255871,0,0,0,0,0.0235044500325097,0,0,0,0,0,0,0.269767130033593,-0.0480273212838782,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.0213942240661079,0,0,0,0,0,0,-0.0128209252387527,0,0,0,0,0,0,0,0,0,0,0,0.142392667463243,0,0,0,-0.0505525508193003,0.0851058230659354,0,0,-0.0515309615714308,0.0559341664522225,0,0,0.120202028812357,0,0,0,0,0.0342341655196048,0,0,0.296724508391956,0,0,-0.176394940170986,0.309482473789825,0
X601229.CH.EQUITY,0,0,0.261394120327819,0.205162814991612,0.0376363761154442,0,0,0,0,0,0,0,0,0,0,0.0823609676227434,0,0,0,0,0,0,0,0,0,0,0,0,0.171900913561108,0,0,0,0,0.360463111213183,0,0,0,0,0,-0.0715479035642675,0,0,0,0,0,0,0,-0.125854830985053,0,-0.103972247836998
X2882.TT.EQUITY,0,0,0,0,0,-0.0738865140008857,0.0251638672223745,0.0989067816312854,0,0,0,0,0,0,0,0,0,0.0638435674754061,0,0,0,0,0,0,0,0,0,0,0,0.0948696504101215,0,0,0,0.13992021089941,0,-0.0907184339290742,0,0,0,0,0,0,0,0,0,0.402410744221965,0,0.0543943585477586,0,0.00531179981780719
X601336.CH.EQUITY,0,0,0,-0.13007648814648,0,0,0,-0.155240749542929,-0.109105680785947,0,0,0,0,0,0,0.0629306608897012,0,0,0,0,0,0,0,0,0.18829654492202,0,0,0.0851175581739863,0.0934325450037811,0,0,0,0,0.126811337901914,0,0,0,0,0,0,0,0,0,0.55002959276107,0.0212688004418112,0.0334810898912044,0,0,0,0
X601169.CH.EQUITY,0,0.0197722868956293,0,0,0,0.140920371864118,0,0,0,0.080410054636946,0.160560610597066,0.263516739923965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310311982948547,0,0.0466072934501579,-0.0370959417085408,0,0,0,0,0.0524636448968251,0,0,0.449738904904088,-0.0690652795356582,0,0,0,0,0
X1997.HK.EQUITY,0.0175367495520592,0.130158424461335,0,0,0,0,0,0,0.0366150424931484,0,0,0,0,0,0.182997927551185,0,0.102842320493363,-0.0165654921564554,0.00701951486761587,0,0,0.031017860836179,0,0,0,0,0,0,0,0.169603830062283,0.295742716942086,0,0,0,0,-0.0925544472019715,0,0,0,0,0,0,0,0,-0.0118046284241997,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.149620355294707,0,0.0190315033350359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988571704373841,0,0.0732484813041872,0,0,0,0,0.150074703860923,0,0,0,0,0,0.105921931599358,0,0,0.00312052457894135,0.090988193286044,0,0,0.276957045192567,0.038586900710891,0,0,0,0,0,0,0.0117126223670134,0
X000166.CH.EQUITY,0,0,0.215447365347577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18882210129609,0,0,0,0.00207496995685438,0,0,0.0464455489175513,0,0,0,0,0,0.472236513876139,0,0.149152337139913,0
X2881.TT.EQUITY,0,0,0,0,0,-0.00188272164151931,0,0,-0.0816457126254404,0,0,0,0,-0.136975403518301,0,-0.228288994986221,0,0,0.13087810304457,0,0,0,0,0,0,0,0,0,0,0.0127866293890638,0,0,0,0,-0.0822003660500003,0.128341795668185,0,0,-0.0561065581257634,0.682446390306695,0.287480840120106,0,0,0,-0.00807209495795313,0,0,0.215659349887193,0,0
X600999.CH.EQUITY,0,0,0,0,0,0.0500114811643037,0.0427237709073252,0,0,-0.187979703310912,0,0,0,0,0,0,0,-0.0657824777594062,0,0,0.288582868364439,-0.0507570120619443,-0.0683415373430915,0,0,0.102913815101052,-0.0134452311744866,-0.086962253759597,0,0,0,0,0,0,0,0,0.637250657086938,0.0629452977891553,0,0,0,0,0,0,0.0777146302143975,0,0,0,0,0
X2891.TT.EQUITY,0,0,0.599829097291479,0,0,-0.107109000512295,0,0,0,0,0,0.241410339945089,0,-0.192589083774087,0,0,0,0,0,0,-0.034034869377713,0,0,0.195993106306938,0,0,0,-0.226446470297975,0,0,0,0,0,0,0,-0.0372949200484156,0,0,0.022079363391507,0,0,0,0,0,0.263098747169788,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.0874791356473862,0,0,0,0,0,0,0,0,0,0,0,0,0.057873367737546,0,0,0.154058708739429,0,0,0,0,0.106303411569669,0,0,0,0.063767953662374,0,0,0,0,0.0311049794276114,0,0.0334405932880035,0.197062775295881,0.189875892820946,0,-0.0101298466156347,0,0,0,0,0.196002772493077,0,0,0,0,0
macro_return_add,0,0,0,0,0,0,0.373910273079963,0,0.368668782027811,0,0,0,0,0.0446391072065805,0,-0.214318688829501,0,0,0,0,-0.335141764481018,0,0,0,0,0,0.368058257316175,0.100230617288266,0,0.0405201128103488,0,0,-0.00764416265875668,0,0,0,-0.0265539449815463,0,0,0,-0.114957711641733,-0.159255247555667,0,0,0,0.221020049094281,0,0,0,0
