,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY
X600837.CH.EQUITY,0.0198175858323287,0,0,0,0,0,0,0,0.25297124542115,0,0,0,0,0,0,0,0,0,0,0.0540491488840634,0,0,0,0,0.0654891659972166,0,0,0,0,0,0,0,0.0557784926685719,0,0,0.0363486344196901,0,0,0,0,0.167105331461519,0,0,0,0.172978827581112,0,0,0,0
X002142.CH.EQUITY,0,0.558695126613984,0.23810321697824,0,0,0.0427634764575138,0.0184940794127089,0,0,0,0,0,0,0,0.0431287715446545,0,0,0,0,-0.0320567915665098,0,0,0,0.0951002658118111,0,0,-0.239509868626882,0,0,0,0,0,0,0,0.036434232786203,0,0,0,0,0,0,-0.142209239806853,0,0,0,0,0,0.0179154423060805,0.0031264210592537
X601066.CH.EQUITY,-0.0265994109937414,0,0,0,-0.362652623911569,0,-0.0884042476266842,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.087339439306484,0,0,0,0,0,0,0.346970443382957,0,0.0157320751161575,0,0.0772396691065737,0,0,0,0,0,0.0476570773732096,0.27326398126942,-0.261734533720493,0,0,0,0.0753517986074256,0,0,0.144912605234158,-0.123460469239713,0.142266920528186
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0233179889310477,0,0,0,0,0,0,0,-0.125079064502125,0,0,0,0,0,0,0,0,0,0,0,0.228228893620575,-0.0782191480538014,0,0,-0.116126889682129,0,0,0,0,0,0.0926317861314253,0,0,0,0,1.07575543268834,0
X601169.CH.EQUITY,0,0,0,0,0,0,-0.150323972351855,0,0,0,-0.187563121667713,0,0,0,0,0,0,0,0,-0.0193488224801355,0,0.0211758717711742,0,0,0,0,0,0,0,0.119014357451128,0,0,0,0.404288527418564,0,0,0.0815202560390494,0,0,-0.0483888337126757,0,0.0137657433116984,0,0.986651113413764,0,-0.110380301064865,0,0,0
X600015.CH.EQUITY,0,0,0.0032584852581324,0,0,0,0,0,0,0,0,0.0511076083390399,0,0,0.0957761916297723,0,0,0,0,0,0,0.126210713241736,0,0,0.214467120646039,0,0,0.173229846939936,0,0,0,0,0,0,0,0,0.0176288609924647,0,0,0,0,0,0.441805611632714,0,0.0141318878288662,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.218483037034743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346214109145246,0,0,0,0,0.0392541674071771,0,0,0.21709286869739,0.0191719291976841,0,0,0,0,0,0,0.118033929756282,0,0.097902243252445,0.3252959293757,0,0
X002736.CH.EQUITY,-0.0368367458916735,0,0.0267525807156879,0,0,0.0164559059354342,0,0,0,0,0,0,0,0,0,0,0.259933941303467,0,0,0,0,0.0796252259370061,0,0,0,0,0,0,0,0,0,0.0497426458608815,0.43048574643868,0,0,0,0,0,0,0.146719266560068,0,0.0396366115265146,0,0,0.0435703312687627,0,0,0,0.0105401356787572
X600999.CH.EQUITY,0,0,0,0,0,-0.0474444872187915,0,0,0,0,0,0,0,0,0,0.0189465508126148,0,0,0.109918664048328,0,0,0,0,0,0.0527447867079729,0,0,0,0,0,0,-0.0368754076403018,0,0,0,0.441598444225464,0.133815807346511,0,0,0,0.134304499727479,0,0,0,0.236045444975726,0.178425495221309,0,0,-0.00414425504559718
X2881.TT.EQUITY,0,0,0,0,0,-0.12127461252964,0,0.186626396222432,0,0,0,0,0,0.154525307802466,0,0,-0.344365441955432,0,0,0,-0.0224153989767929,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.109879083053608,0,0,0,0,0.258221000432567,0,0,0.174401579728776,0,0.44991300370041,0,0,0,0,0,0,0
X2886.TT.EQUITY,0.0518091223929162,0,0.144165187232102,0,0.0370878006801389,0,0,0,0,0,0,0.172563235227992,0,0,0,0,0.172799111088961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991249750898804,-0.588527720742798,-0.1379161898489,0,0,0,0.43224117674272,0,0,0,0,0,0,0,0,0,0.00819596242117048,0
