,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY
X601658.CH.Equity,0.0408801514578335,0,0,0,0,0,0,0.131404217671482,0,0,0,0,0,0.163426360248941,0.0970959202940594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026138320938261,0,0,0,0.0878284025592843,0,0,0,0,0,0,-6.93889390390723e-18,-0.0165156727017837,0,-0.0357989387284812,0,0.135137119067653,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0261001201457482,0,0,0,0,0,0,0,0.0731655505432825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161681784182597,0,0.365683702543875,0,0.0103510932529225,0,0,0,0,0.0681963832993731,0,0,0,0,0,0,0,0,0.0992183020622314,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584118227739514,0,0,-0.0589102872729883,0.0797183144444855,0.0307682070481591,0,0,0,0,0,0,0,0,0,0,0,0,0.0122221786967514,0,0.0658838362618152,0,0,0,0,0.184398366395223,0,0,0,0.10523659881285,0,0,-0.169183734696635,0
X000001.CH.EQUITY,0,0.0688805966152354,0,0.0277173476495551,0.566061919134171,0,0,0,0,0,0,0,0,0,0,0.0589593161682283,0,0,0,0,0,0,0.0458704601059737,0,0,0,0.0404802020570503,-0.285145601370227,0.138157559082812,0,0.0377044029684656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748771745266187
X000002.CH.EQUITY,0,-0.0838392798872565,0,0,0.148842689093462,-0.281015245867664,0,0,0.193733469603624,0,0,0,0,0,0,-0.0339057348552974,0,0,0,0,0,0.0509156713874935,0.0482617113328596,0,0,0,-0.00749742570846748,0.302214926064179,-0.0559329257311248,-0.343643275988384,0,0.0662199532009673,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.143207873265014,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.166521608266066,0,0.0642911821797689,0,0,0,0.0869556928948047,0,0,0,0,0,0,0,0,0,0,0.218309225070418,0,0,0,0,0,0,0.088499225230737,0,0,0,0,0,0.181323989885795,0,0,0,0,0.087888812000202,0,0,0,0,0,0,0,0,0,0,0,0,0.0876374857805159
X601066.CH.EQUITY,0,0,0.00556321038917997,0,0,0,0.0220414856606368,0,0,0,0,0,0.633958005719676,0,0.0738790305446131,-0.0531340779627427,0,0,0,0,-0.0458196634827355,0,0.0443232283440794,0,0,0,0,0,0,0,0,0,0.0330359518511563,0,0,0,0,0,0.117184009315405,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.234798382100673,0,0.180085465544684,0,0.249120011772966,0,0,0,-0.100512613155966,-3.46944695195361e-18,0.130157612391725,0,0.116146783518531,0,0,0,0,0.0968526531465748,0,0.126248339167343,0,0.0331167914122685,0,0,0,0,-0.0795112072345075,0.0467154488735565,0,0,0,0,0,0,0,0,0.0412071778566232,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.17416122758066,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0259624502689201,0,0,0,0.405896407820302,0,0,0,0,0,0,0,0.00428879670109924,0,0,0,0,0,0,0.0541539330853816,0.0223038975712108,0,0,0,0.0196960738906265,0,0,0,0,0.0432803161615523,0,0,0.0513819031103766,0,0,0.0210716773213501,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0.157976729738076,-0.137581782476914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102419173150871,0,0.0423817930831024,0.00748532006896934,0,0,0,0.0302836998621802,0.0188877274915261,-0.099351245919473,0,0,0,0,0.081197607131422,0,0,0.248510070476918,0.418784910924812,0,0.0193549759677082,-0.674066726070309,0.245647885016331,0.116793125090952,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.339045745077673,0,0.155492187569613,0,0.0881053531837142,0,0,0,0,0,0,0,0,0,-0.023367804379629,0,0,0,0.218075486584727,0,0,0,0,0,0.118647406759354,0,0,-0.0340493531820876,0,0,0,0,0,0,-0.0446277153519597,-0.0568066017842236,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0512963525703368,0,0,0,0,0,-0.0472622100017907,0,0,0,0,0,0,0,0,-0.0709897684899541,0,0,0,0,0,0,-0.163241027045483,0.213256911059586,0.316557375706653,0,-0.0294100930903451,0,0,0.0485883894425847,0.00872744679125063,0,0,0,0.334853447206942,0,0.0807901501947581,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0.0624130170435334,0,0.00944652284743285,0,0.134503438382233,0,0,0,0.0596854192308898,0,0,0,0,0,0.0310953625861498,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.127286557228415,0,0,0,0.066304854211603,0,0,0,0,0.138657121460624,0,0,0,0,0,-0.0194955849404179,-0.0308278892750218,0.268206355978096,0
X601998.CH.EQUITY,0,0,0,0.183901803756084,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.22808801759439,0.215119157390672,0,8.67361737988404e-19,0,0,0,0,0,0,0.117638597112604,0,0,0,0,0,0,0,0.0311682678837202,0,0,0,0,0,0.0212876099828898,0,0.138427169099235,0,0,0,0,0.149725328786077,0,0,0
X2388.HK.EQUITY,0,0,0.0784197701926739,0,-0.0154459623674567,0,0.259951581830734,0,0.193677343020006,0.00344760055783221,0.0036027154191938,0,-0.217637543538623,0,0,0,0,0.104303770024373,0,0,0,0,0,0,0,0,0,0,0,0,0.247896763441359,0,0,0,0,0.211320821190199,0,-0.234224106287811,0,0,0,0,0.21298766808959,0,0,0.032414541246501,0,0,-0.188757952488516,0
X600016.CH.EQUITY,0,0,0.195456567153662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0643101088370095,0.121580907332965,0,0,0,0.0843459860255957,0,0.753720622348661,0,0,0,0.0524478882403131,0,0,0,-0.3910881744721,0,0,0,0.424109195098788,0,0,0,0
