,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X1997.HK.EQUITY,0,0,0,0.0879730428276912,0,0,-0.235018221668019,0,0,0,0,0,-0.00372944136893846,0.304858257548883,0,0,0.120658784393985,0,-0.0745933152034195,0,0,0,0,0,0,0.226442551720178,0,0.128399581604313,0,0.33651875551838,0.234599653469493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504548730463331,0.0161726943226289,0,0
X601336.CH.EQUITY,0,0.0842094272700728,0,0,-0.0397789642305707,0,0,0.207264123976037,0.112041339855404,0,0,0.312666641943215,0,0,0,0.0971275263321689,0.0530983929960923,0.12463784697107,-0.0450067143632101,0,0,0,0.179241848282731,0,0.0347448612466502,0,-0.0211777967874922,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0175738333281649,0,0,0,0,0,0,0,0,0,0,0,0,0.547361887767629,0,-0.0379553869857421,0,0,0.0101181284156292,0,0,0.189660890398079,0,0,0.0545236024916865,0.0140479390466325,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.141827103740092,0,0,0,0,0,0,0,0.03114958571242,0,0,0.345349110219779,0,0,0,0,0,0,0,0,0,0,0.136181703181781,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.391627352923716,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0.125952649947511,0.0698482066635316,0.00441337220472436,0,0,0,0,0,0,0,0,0,0,0,0,0.371327324464939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469029289731273,0,0,0.037673289669045,0,0.114989771694682,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.195134377220669,0,0,0,0,0.268745984746974,0,0,0,0,0,0,0,0,0,0,0,0,0.268710620226235,-0.0206861326512387,-0.0662703472401243,0,0,0,0,0,0,-0.219628081765198,0,0.101138335098692,0,0.0369501898752873,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.171728343217364,0
X2882.TT.EQUITY,0.143136542691566,0,0,0,0,0,0,0,0,0,0,0.105394086156489,0,0,0,0,-0.0399810440692739,0,0,0,-0.18531714394858,0,0,0,0,0,0,0,0.0547514979358965,-0.087731839040491,0,0,-0.172125671259139,0,0,0,-0.0475340043940996,0,0,0,0.172215111896961,0,0,0,0,0,0.126890674965254,-0.0485570859111871,0.916486075293689
X000166.CH.EQUITY,0,-0.113499543553048,0,0,0,0,0,-0.00691519539569334,0,0,0,0.147518214273623,0,0,0.139422416186904,0,0,0,0,0,0,0,0,0,0,0,-0.199226967438904,0,0,0,0,0.0437385779604711,0,0,0,0.539101578927557,0,0,0.246617500182794,0,0,0,0,0,0,0,0.249144137902639,0,0
X600015.CH.EQUITY,0,0,0.304838055681293,0,-0.287052466496873,0,0.301959417228563,0,-0.174250618599399,0,0,0,-0.444758797245197,0,0,-1.38777878078145e-17,0,0,0,0,0,0.32689135588776,0.565448439551788,0,0,0,0,0,0,0,0,0,0,0,0,0.0801597128384711,0,0,0,0,0,0,0,0,0,0,0,0,0
X17.HK.EQUITY,0,0.00467817251556901,0.014286306584491,0,0.199946332367731,0,0,0,0,0,0,0,0,0.302243936287119,0.0649979967531323,0,0,0,0,0,0.017422551520289,0,0,0,0,0,0,0,0,0.0145655087849813,0,0,0,0.182204604834814,0,0,0.328129479691874,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0.0621279331863563,0,0,0,0,0,0,0,0,0,0,0.0100918876272798,0,0.0194562554598937,0,0,0,0,0.339230395507559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324407386277252,0.422794961716112,0.078360842054628,0.00649804655516954,0,0,0.111234348443731
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119417653082411,0,0,0,0.135292748595853,0,0,0,-0.0217672840183923,0,0,0,0.032603658671085,-0.0130510186694595,0,0,0.505526848915341,0,0,0,0,0,0,0,0.329942822441268,0,0,0,0,0
X2881.TT.EQUITY,0.0027565156918194,0,0.117564957023287,0,0.0753987460381275,-0.20457641362427,0,0,0,0,0,0,0,0,0,0,-0.0662684939295292,0,0,0,0.0333403923027128,0,0,0,0,-0.0643767952501526,0,6.93889390390723e-18,0,0.0322601547287915,-0.220079549798053,0,0,0,-0.156559465765041,0,-0.0597788570481165,0.144418424243179,0,0,0,0,0.872856876342457,-6.93889390390723e-18,4.33680868994202e-19,0,0,0,0
