,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X600048.CH.EQUITY,0.117226303701148,0,0,0,0,0,0.189506331050354,0,0,0,0,0,0,0,0,0.125707415451502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132388645881587,0,0,0,0,0.252009705868442,0,0,0,0,0,0,0.0280337218013726,0.240996720199529,-0.0474048929794509,-0.0640910737017085
X1109.HK.EQUITY,0,0,0.00283645402117772,0,0,0,0,0,0,0,0,0.0912058042468595,0,0,0,0.0540069762689205,0,0,0.174096136793685,0.0465668605093938,0.0936508431728624,0,0,0,0,0,0,0,-0.0434007892485909,0,0,0,0,0,0,-0.0642545117095486,0,0,0.246959267818574,0,0,0,0,0,0,0,0,0.306798191686033,0,-0.112496348113958,0,0.194643294495004
X1113.HK.EQUITY,0,0,0.103448340148969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300513571978569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111452204598836,0,-0.0237038406060261,0,0.110683233138728,0.0887229558114449,0,0,0,0.174288949622555,0,0.16673418247224,0,0,0,0,0,0
X12.HK.EQUITY,0.261184837462767,0,0,0,0,0,0,0,0,-0.0580590832058544,0,0,0,0,-0.380636125278148,-0.069772485133138,0,0,0.0989027048803055,0,0,0,0,0,0,0,0.219113898008613,0,0,0,0,0.397893696640151,0,0,0.414341170887611,-0.165200528815746,0,0,0,0,0,0,0,0,0,0,-0.1469335342015,0,0,0,0,0.0895261014807006
X16.HK.EQUITY,0,-0.07589117455765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0821765990159987,-6.93889390390723e-18,0,0,-0.0179555155642614,0,0,0,0.241914973432318,0.269367663226145,0,0.234636996724054,0,0.44091596812119,0,0,0,0.083896629978866,0,0.0871504901791942,0
X1997.HK.EQUITY,0,0,0,0,0.00927880727416624,0,-0.072286229332041,0,0,0,0,0,-0.0267021433381401,0,0.00798364120938682,0,0.063187559466575,0,0,0,0,0,0,0,0,0,0,0,0.106828500131035,0,0,0,0,0,0.0100031253363823,0,-0.0401695163175917,0,0,0,0.0878485126417741,0.214907427947815,0.307932364409727,0.129623936260574,0,0,0,0,0.42508378746127,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0436248322999115,0,0,0,0,0,0,0,0.0907422011838812,0,0.0658709224119794,0,0,0,0,0,0,0,0,0,0,0.144538655957641,0,0,0,0,0,-0.0927953128179127,0.0814355163665563,0,0.174847157675037,0.14070165166085,0.291986356328199,0,0,0,0,0.00294560667949787,0,0,0,0,0
X267.HK.EQUITY,-0.169932797421405,-0.159336479248733,0,0,0,0.130656115843019,0,0,0,0,0.0537819469127511,0.0653966562647125,0,0,0,0,0,0.257762141748385,0,0,0,0,0,0,0,0.175472334191234,0,0,0.0487571012361613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441652345469904,0,0.0516325006691453,0,0,0,0,0.0328916016448863,0.0162199285025699
X688.HK.EQUITY,0.0364826257164581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205098570096471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150345133792511,0,0,0,0,-0.161376210699065,0.142014648694257,0,0,0.0568671577661175,0.226039978200528,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,-0.00176595679230161,-0.191583945184117,0,0,0,0,0,0,0,0.102006052149615,0,-0.0938226847282889,0,0,-0.122004896450944,0,0.179324926685768,0.215602720564498,0,0.0707323298728746,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.0303161541670422,0,0,0,0,0,0,0,0,0,0,0.106404405935599,0.151339198147811,0.332884992264836,0,0,0,0,0,0,0
MKRturn,0,-0.0945999582952727,0,0,0.649691939137946,-0.0581756815120626,0,0,0,-0.00435814479983505,0,0,0,0,0.0191214102901215,0,0,0,0.0325968071417924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593176564969157,-0.155896074427869,0.25572999371627,0,0,0,0,0,0,0,-0.124815858540477,-0.0499913548123895,0,0,0
TED,-0.52995104516996,0,0,0,0,0,0,0,0,0.306113114416015,0,0,0,0,0.0560111774598691,-0.0206468228336625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813120700280271,0,0,0,-5.42101086242752e-20,0,0.0888456366685903,0,0.19744246727471,0,0,0,0.0398553307171196,0,0,-0.260351263979845,0,0.531998333422879,0,0,0,0,0
RealEstateDiff,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.192802910426394,-0.00944066990938542,0,-0.284490178628556,0.258642990259383,-0.17005939650233,0,0,0,-0.0568711665952315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351634829505804,0.0811731068646426,0,0,0.372227352443102,0,0,0.0151669057817772,0,0,-0.00707282704885787,0,0
