,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601818.CH.EQUITY,0.223036788311698,0.0948072592225133,0,0.361141969704087,0,0,0,0,0,0.139053929504809,0,0,0,3.46944695195361e-18,0,0.0988728205668058,0,0,0,0,0,0,0,-0.0411473829964497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397804188706397,0
X601939.CH.EQUITY,0,0.191904721438812,0.413716778376973,0,0,0,0,0,0.00678178577231328,0,0,0.269218863993528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003860340609787,0,0,0.108130566691433,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0117791632691273,0,0.298447019080931,0,0,0,0,0,0,0,0,0,0,0,0,0.127644382586522,0,0,0,0.138620116321756,0,0,0,0,0,0,0,0,0.0659587627997127,0,0,0.219497962475981,0.0804684331585169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.415713038681834,0.348991742896856,0,0,0,0,0,0,0,0.0903408023507182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029257461085602,0,0,0,0,0,0.0863014148497219,0,0,0,0,0,0,0.167155401189608,-0.100797453799156,0,0,0,0,0,0,0,-0.0833563006582475,0,0,0.0440573674208217,0
X601658.CH.Equity,0,0,0,0.312838916293963,0.408336515513977,-0.302367416981336,0,0,0.582970242851246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084875589552739,0,0,0,0,0,0,0,0,-0.236753672618752,0,0.210478539330989,0,0.066376448170632,0,0,0,-0.371769119187147,0,0,0,0,0,-0.00279703082397708,0,0.148006460760192
X11.HK.EQUITY,0,-0.0908944581676983,0,0,0,0,0,0,0,0,0,0,-0.0104543029050748,0,0,0,0,0,0.590639719875423,0,0,0,0,0,0,0,0.0552788992095941,0,0,0.010533319817129,0,0,0,0,0,0.165555930075803,0,0,0,0,0,0,0,0,0.0628248710879575,0.136705678024239,0,0,0,0,0,-0.00975521490949088,-0.0259868825502476
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0704514927241707,0.101832553199449,0,0,0,0,0,0,0.24941469028204,0,0,0.0082188522858044,0,0,0,0,0,0,0,0,0.0747931218815126,0,0,0,0,0,0,0,0,0,0,0,0,0.0454273923830854,0.0683447225119788,0.0940707782592357,0.134502237610772,0,0.122749149115708,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596751855733369,0,-0.232660713435277,0,0,0,0,0,0,0,0,0.186951218388841,0,0,0,0,0,0.0733718846788537,0,-0.206910984708522,0.428693746667563,0,0,0,0,0,0,0,0,0,0,0.0338369325079632,0.107038533477409,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,-0.0944597433864714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167470226865938,0,0,0,0.0964587269280858,0,0,0,0,0,0,0.652407757240534,0,0,-0.116899183633612,0,0,0,0,0,-0.0465562057397041,0,0,0,0,0.0496880607652331,0,-0.0595904852500409
X000166.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0041337357765052,0,0,0,0,0,0.0369510134931872,0,0.40962063166711,0.261924439185784,0,0.150381419924713,0.0886442147438291,0,0,0,0,0,0,0,0,0,0,0,0.0670474210698181,0,0,0,0,0,0,0,0,0,0,-0.0734085380393595,0
X300059.CH.EQUITY,0,0.0100101206523667,0,0,0,0,0,0,0,0,0,-0.0311454946665631,0,0,0,0,0,0,0,0,-0.026758194531082,0,0,0,0.782717118857388,0,0,0,0.000163024778012752,0.000331395861805805,0,0,0.108713269598581,0,0,0,0,0,0,0,0.00327341668924458,0,0,0,0,0,0,0,0,0,0,0,-0.0630796369881557
X600030.CH.EQUITY,0,0,0,0,0.00117616570500916,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141467416244899,0,0,0.0466693749607578,-1.38777878078145e-17,0,0.523393720937946,0.152924056457204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216672115115807,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0.0708231540371102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137500334415169,0.242925141449337,0,0,0.0136625624364472,0,0.0563718759623271,0.272224344539747,0,0,0,0,0,0,0,0,0.121480435424597,0,0.0665639589158174,0,0,0,0,0,0,0,0,0,0,0,-0.0135266695264727,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0117031489648764,0,0,0,0,0,0,0,0,0,0,0,0.187544197959963,0,0,0.216107861534972,0,0.112385791617463,0.338639358087245,0,0,0,0,0.0962136805936569,0,0,0,0,0,0,0.0305494611363712,0,-0.00966004806704034,0,0,0,0,0,0,0,0,0,0,0.011558367257792
