,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601211.CH.EQUITY,0,0,0,0.0291005865417228,0,0,0.0798863575451615,0,0,0.0104813902252964,0,0,0,0.318508271501107,0,0,0,0.0837935052906723,0,0,0,0,0,0,0.00333541826978984,0.084183004849938,0,0,0,0.0770124839936616,0,0,0,0.282568747292741,0,0,0,0,0,0,0,0.0161968721274535,0,0.0411270208986035,0,0,0,0.0220155363936115,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110987635561148,0,0,0.0969115995181236,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699079031827569,0,0,0,0.0608557363274392,0,0,0,0,0,0,0,0,0.139880869028793,0,0,0.111603294362058,0.18661176806254,0,0,0,-0.047323732022847
X267.HK.EQUITY,0.17403530451389,0,0,0,0,0,0,0,0,0,0,-0.0121190384434931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194015354235344,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.117414428901518,0.432461661386889,0,-0.415253168838207,0,0,0,0,0,0.195594758936441,0,0
X1113.HK.EQUITY,0,0,0,0.00816223628902734,0,-0.0857975043849433,0.29486336321561,0,0.144783109154923,0,0,0,0,-0.105847735208497,-0.0323308388937111,0,0,0,0,0,0,0,0,0,0.0333591275247077,0,0,0,0,0.0473880042404648,0,0,0,0,0,0,0,0.12510208507773,0,0.105848084919265,0,0,0.193879147939381,0,0,0,-0.050905359867308,0,0,0,0
X2882.TT.EQUITY,0,0,0,0.0240073023114823,0,0,0.150075845278829,0,0,0,0.0302253968252507,0,0,0,0,0,0.0158864064557471,0,0,0.0152022129000529,0,0,0.192814380998304,0,0,0,0.132421807847441,0,0,0,0,0,-0.0256657331556828,0,0,0,0,0.0292055710038427,0,0,0,0,0.052213959176689,0,0.703692522934819,0,0,0,0,0,0
X12.HK.EQUITY,0,0.19405183150339,0,0,0,0,0,-0.0229875610743631,-0.0484916368768111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049875720533361,-0.135588270716981,0,0,0,0,0.125969752820202,0,-0.322540587663992,0.00847921647107257,0,0,0,0,0.0876720126660846,0.297939251604793,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.195343636694871,0,0,0,0,0.191367448813877,0,0.175738331843948,0.156899435791101,-0.0684053942300442,0,0,-0.0324635854465622,0,0,0,0,0,0.0258574355728826,0,0,0.136964713402757,0,0,0,0.0311135110279937,0,0,0,-0.306965690336598,0,0,-0.160662566556349,0,0,0,0.225487459657119,0,0,0,0
X823.HK.EQUITY,0.0961454774029065,0,0,0.0746721251968358,0,0,0,0,0.0761041385621745,0,0.0367886457224706,0,0,-0.144668246547378,0,0,0,0,0,0.0761256675740774,0,0,-0.125519716461874,0,0,0,0,0,0,0,-0.119088679240458,0,0,-0.339904503769678,0,0,0.0316009058755685,0,0.118272449594213,0,0,0,0,0,0,0,0,0,0.390745620298081,0,-0.163558216776932
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0797552970472956,0,0,0,0,0,0,0,0,0.236534892891887,0,0,0,0,0.0664091241293258,0,0,-0.0104592639308215,-0.0475780721637998,0,0,0,0,0.247557451316232,0.141016139515072,0,0,0,0,0.205760626291572,0,0,-0.0597947337028908,0,0.21664407109597,0.00990122933949771,0,0.0874010640605072,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0892655208803353,0,0,0,0,0.0957055440206607,0,0,0,0,-0.0820658583693296,0,0,8.67361737988404e-19,0,0,0.07447443967617,0,0,0,0,0,0,0.0836993150466701,0,0,0,0,0.150359930662675,0,0.553257515842773,0,0,0,0,0,0,-0.0108040611658918,0,-0.0782645950076068,0,0.108100282587753
X601229.CH.EQUITY,0,8.67361737988404e-19,0,0,0,-0.0436113212685165,0,0,0,0,-0.214201203635941,0,0,0,-0.0154049793920253,0,0,0,0.248012838977242,0,0.217890886523179,0,0,0,0,0,0.138374349972356,0,0.33571369913645,0,0,0,0,0,0,0,0,0,0.0252127653311403,-0.200981964566642,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.471956932524633,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336645978427438,0,0,0,0,0,0,0,0.0567079852092346,0,0,0,0,0,0,0,0,0,0.260723014932246,0,0,0,0.167451670127794,0,0,0,0,0,0.0148624589277261,0,0.0249959115812265,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,-0.0209823652053026,0,0,0,0,0,0,0,0.0555722987819538,0,0,0,0,0.0216055594956081,0,0,0.08064406854071,0,0,0.431423036075814,0,0,0,0,0,0,0,0,0,0,-0.0195940573897015,0,0,0.229749954798077,0,0,-0.034114487848568,0,0,0.15331868312797,0,0,-0.0499959294356006,0,0,0,-0.0608850153599433,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0.122835629946314,0,0,0,0,0,0.234449862482392,0,0,0,0,0.065846668618723,0,0.00472283037570435,0,0,0.0301663417042259,0,0,0,0.167030433368863,0,0.0269026970931347,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.321105189888294,0,0,0,-0.091383568391317,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.116392093702687,0.0364216838911831,0.389156652769631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215878492477036,0,0,0.0876829806499325,0.435903856492475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253950087631602,0.0459733596546199,0,0,0,0,0.0688831688735232
macro_return_add,0,0,0,0,-0.279853559725615,0,0,0,0,0,0,0,0,0,0,0,-0.291540922024623,0,0,-0.144525228870656,0,0.177942956455316,0,0.487024088591539,0,0,0,0,0,0,0.147553894049397,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264014252180425,0,0,0,0,0.102120762691395,0
