,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X1113.HK.EQUITY,0,0,0,0,0,0.0597835093852781,0.075585764186782,0,0,0,0,0,0.0275511433088005,0.0978470947324163,0,0,0.0720975556501726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160174260830632,0.285742012605221,0,0,0,0,0,0.182655307748966,0,0,0,0.157271272824753,-0.135420205817569,0,0,0,0,0,0,-0.0708681890602106
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811093681486219,0,0,0,0,0.0939371102715367,0,0,0,0,0,0,0,0,0,0.21956818913795,0,0,0,0,0.101066019251954,0,0.0334635626421969,0,0,0,0.168458554262876,0,0.230497888859847,0,0,0,0.0560804465196313,0
X002142.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,-0.10674491296701,0.526107045088108,0,0.116169295999789,0.074901221192444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103508756645379,0,0,0,0,0,0,0,0,0,0.443653997459882,0,-0.174342791580453,0,0,0,0,0,0,-0.165508223101881
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.225504122781577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239786525097326,0.0486184438461387,0,0,0,0,0,0,0,0.0452395761738164,0,0,0,0,0,0.306016452070541,0,0,0.0426206202199022,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.0505830853444742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267041370146754,0,0,0.161436107474239,0,0.0380635367342952,0,0,0.066231185081003,0,0,0.071505413108586,0.00106849784075631,0.125407031507981,0,6.93889390390723e-18,0.173752810314862,0,0.0337013598904237,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0729384614107431,0,0.0705463509943386,0,0,0,0,0.143186072964906,0.251243552365825,0,0,0,0,0,0.0873362103962917,0,0,0,0,0.0323138638528977,0,-0.0212950854836441,0,0,0,0.333415811773129,0,0,-0.155555050324623,0,0,0,0,0,0,0,0,0,0,0.145713996298676,0,0,0.0362430722606989
X300059.CH.EQUITY,0,0,0,0,-0.0169222504336429,0.118459027617201,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.24358707071765,0,0,0,0,0,0,0,0.177461769146739,0,0.0464164931760185,0,-0.165450032030005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446196332874853,0,0,0.00329581227295861,0,0,0
X601229.CH.EQUITY,0,0,0.316613913839984,0,0,0,0,0,0,0.0353321513253272,0,0,0,0.216970835753468,0,-0.015711735588556,0,0,0,0,0,0,0,0,0,0,0,0,0.0584212731917954,0,0,0.162454361949484,0,0,0,0.158431708018281,0.0318175461748522,0,0,0,0,0,0,0,0.0591202580418623,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0165783434581917,0,0.27038421913656,0.159370661787577,0,0,0,0.0115722614980433,0.0271842790085216,0,0,0.110788864514658,0.0403925794514667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328291644948695,0,0,0,0,0,0.0337251198712457,0,0,0.184116544265947,0
X2882.TT.EQUITY,0,0,0,0,0,0.278020368818472,0,0,0,0,0,0.15560315964196,0.00223243758057446,0,0,0,0,0,0,0.219187925178311,0,0,0,0,0,0,0,0,0,0.0221398330771681,0,0,0,0.0796973482278334,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.150961400341278,0,0
X600999.CH.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134663435167613,0,0,0,0,0,0,0,0,0,0,0,0.0451240793193564,0,0,0.26256816708922,0,0,0,0,0,0,0.0671365355106539,1.38777878078145e-17,0.0178660676489217,0.211374651223964,0,0.158852394099785,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294358922224292,0.0123818133113821,0,0,0,0,0.0180874574060329,0.0164922098591021,0,0,0,0,0,0.101342628275551,0.168048478816292,0,0,0.0525894155080416,0,0,0,0,0.137929249800817,0,0,0,0.104892013520535,0,0,0,0,0,0.132745820080076,0.0466057217337948
X601169.CH.EQUITY,0,0,0,0,0,0.0337254679281742,0,0,0,0,0,0.170109706748277,0,0,0,0,0,0,0,0.0595623740096539,0,0,0,0,0,0,0,0,0,0,0.0478735178281815,0,0,0,0,0,0,0.00388542886267694,0.000888087339354221,0,0,0.211774783316927,0,0,0,0,0.396472976600753,0.0896514650912926,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.0654485322771263,0,0,0,0.00505157153388768,0,0,0,0,0.159932563997243,0,0,0,0,0,0,0,0.052632398368447,0,0.229786763793242,0,0,0,-0.102826326584186,0,0,0.0595438908430416,0,0,0,0,0,0.0286367578666912,0,0,0,0,0,0,0.11687304143195,0,0.366754479741268,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,-0.0484819806377455,0,0,0,0,0,0,0,0,0,0,-0.0304362514306556,0.0847284071273071,0,0,0,-0.0276304880365796,0,0,0,0.0348444274551393,0,0,0,0.0817534615541515,0,0,0,-0.027619090777543,0,0,0.0464916817360566,0.522479373644976,0,0,0,0,0,0.0980178562830853,0.140538908563565,0,0,0,0,0.0727709915054818,0
X2881.TT.EQUITY,0,0,0.16779157127155,0,0,0.111233616625426,0,0.149468700643109,0,0,0,0,0,0,0,0,0.00339032065016328,0,0,0,0,0,0,0,0,0,0.0810290026105398,0.113740508362046,0,0.0671524821662937,0,0,0,0,0,0.103181596683699,0,0,0,0,0,0,0.113824333917361,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862143790663203,0,0,0,0.0774573624422059,0,0,0,0,0,0,0.0399758717197161,0,0,0,0,0,0.331655981774813,0,0,0,0,0,0,0.0762337289949574,0,0.052357221492655,0,0,0,0.0990232074931073,0,0,0.224142386669736,0,0,0
macro_return_add,0.272284211226017,0,-1.71466138943871,0.799932019630159,0,0,0.443981545181773,0,0,0,0,0,-0.871814143327053,0,0,0.029172113315471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.529220303772107,0.22035923074687,0,0,0,0,0,0.308633576452174,0,0.722661246702806,0,0,0,0,0,0
