,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X5880.TT.EQUITY,0,0,0,-0.0235697524043077,0,0.0104770117419065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0982407774693279,0,0,-0.175615867809437,0,0.0303455409737487,0,0,0.454715563241785,0.0146926042469077,0,0,0,0,0,0,0,0,0.0355712189302811,0,0,0.531412910186952,0,0,0,0,0,0,0.234730768485113,0.0407713283723195,0,0
X600030.CH.EQUITY,0.0799625152901134,0.00923597659176807,0,0.106517090063158,0,0,0,-0.190172196075632,0,0,0,0,0,0,0,0,0,-0.151769738136582,0,0,0,0,0,0,-0.0338067812746114,0,0,0,0,0,-0.0635240082747859,0,0,0,0,0.0181849293479832,0,0.713354420469312,0,0.116107956544926,0,0,0,0,0.0734428414646466,0,0,0,0,0,-0.304906657688465,0.074225672163774
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0284980508096732,0,0.126376996192974,0,0,0,0,0,0,0,0,0.165064869528819,0,0,0,0,0.0282535892719598,0,0,0,0,0,0,0,0,0.642282861610532,0,0,0,0,0.107087203217212,0,0,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.02199217210371,0,0,0,0,0,0,0.350018396965922,0,0,0,0,0,0,0,0,0.135941847980351,0,0,0,0,8.67361737988404e-19,-0.0363116323057568,-0.0690376485342687,0,0,0,0,0,0,0,0,0.583898382336256,0,0.140242992499501,0,0,0,0,0,0,0,0,0,0,0,-0.0233696036655543,0,-0.0052791263000072
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0.439762348189982,0.157835719793994,0,0,0,-0.0596928484282987,0,0.196404419017079,0,0,0,0,0,0,0,0,-0.0544300145587819,0,0,-0.0183325136253595,-0.0688954629095535,0,0,-0.314280961732616,0,0,0.235446281816382,0,0.287314244235769,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0
X2885.TT.EQUITY,0,0,0,-0.123844186920938,0,0,0,0,0,0,0,0,0,0.145998489750598,0.0704727331880213,0,0,0,0,0.237714556643747,0,0.0169661447368635,0.125210254071972,0,0,0,0,0,0,0,0,0.0780807396957013,0,0.0320653993250869,0,0,0,0,0,0,0,0,0,0,0,0,0.262835496535537,0.48226893588766,0,0,0,0
X601318.CH.EQUITY,0.0395014552879381,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690746360832798,0,0,0,0,0,0,0,0.706073385479405,0,0.0825523199554789,0,0.175125824151423,-0.065210473998927,0,0,0.220427980077709,0
X601319.CH.EQUITY,0,0,0,0.204893288906312,0.0451144130981899,0,0,0,0,0,0,0.153453286549347,0,0.0966348020961426,0,0.115274164081832,0,0,-1.73472347597681e-18,0,0,0,0,0.068593924049728,0,0,-0.133029406971503,0,0,0,0,0,0,0,0,0,0,0,0.058071749039786,0,0,0,0.296110377772072,0,0,0,0,0,0,0,0,-0.154682434675181
X601336.CH.EQUITY,0,0,0,0,0,0,0.0210685673649326,0,0.0305774419696624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855279387678861,0.105814940548778,0,0,0,0,-0.177722627120248,0,0,0,0,0.032369000914736,0.0779171504080236,0.162500484079289,0,0,0,0.272368228181757,0,0,0.114152173037056,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.00170925714575962,0.067448823121336,0,0,0.101117095330972,0.0417482587063229,0,0,0,0,0,0,0.0273212361038354,0,0,0,0.00379729446601963,0,0,0,0,0,0.273347914046681,0,0,-0.0151346528212513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102299506052025,0.152645983992558,0,0,0.280633032565607,0,0.0390082338610842,0,0,0,0,0,0.037195421272766
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29859005646031,0,0,0,0,0,0.117459895525007,0,0,-0.502457665467222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338222349484721,0,0,-0.0381519775856109,0,0.17678750520974,0,0,-0.0591178026600153,-0.109209220300899
X1299.HK.EQUITY,0,0,0.212874441354482,0,0,0,0,0,0.013790748386382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243162768173511,0,0,0,0,0,0,0,0,0,0.105631454167013,0,0,0,0,0,0,0,0,0,0,0,0.00369047836719908,0,0,0,-0.00236446553957029
X2881.TT.EQUITY,0,0,0,0,0,0,0.364857021279552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258270106120737,0,-0.142440555870116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126074544386716,0,0.076184653582945,0,0.601940584891778,0,0.0373525483809436,-0.437459142872619
X2882.TT.EQUITY,0,0.0415296784659504,0,0,0,0,0,0.278662466451968,0,0,0,0,0,0,0,0,0,-0.0993125280698332,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.184084722532654,0.0521913753145005,0,0.503416112938081,0,0,0,0,0,0,0,0,-0.269875308229633,0,0,0,-6.93889390390723e-18,0.00888903001045935,0,0.201290335532019,0,0,0,-0.163060936891991
X2883.TT.EQUITY,0,0,0,0,0.271909982106541,0,0.00745421597097339,0,0.0362919798871914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729380150785054,0,-3.46944695195361e-18,0.0286480721844838,0,0,0.164582900092301,-0.0806010720667545,0,0,0,0,0.0128500032940808,0,0,0,0,0,0,0,0,0,0.813144462459614,-0.0684805113536905,0,0
X2888.TT.EQUITY,0,-0.0343564617842912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300873737355704,0,0,0,0,0,0,0.132394026875076,0,0,0,0,0,0.0552347465915213,0,0,0.152822393848389,0,0,0,0,0,0,0.0172272415077688,0,0,0,0,0,0,0.0531863715319164,0,0.323438372489018,0,0.0237929819542512,0,-0.0472759850403117
X267.HK.EQUITY,0,0,0,0,0.40004975806546,-0.00230031795653828,0,0,0.116743229927514,0,0,0,-0.22361006204977,0,0,0,0.237933128149784,0,0,0,0,0,0,0,0,-0.127233345008175,0.416115450417278,0,0,-0.0462650686257221,0.0142167272277177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840123637956285,0,-0.113272848897894,0.249980701462716
MKRturn,0,0,0,0,0,0,0,0,0,0,0,0,-0.122934143105199,-0.0201277425837744,-0.262316010310163,0,0,-0.397281097964105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329180850602591,0,0,0,0,0.21784916727717,0,0,0,0,0,0,0.332620133197037
RealEstateDiff,0.0111205487971385,0,0,0.263258647469224,-0.00881770673543721,0,0,0,0,0,0,0,-0.240837909472364,0,0,0,0,-0.112844474715992,0,0,0,0,0.134484989826635,0,0,0,0,0,0,0,0,0,0,0.107812889923174,0,0,0,0,0,0,0,0,0,-0.0807965137652709,-0.143539472269358,-0.169211511286864,-0.0726231857848054,0,0,0,0.312065105927454,0
