,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X5880.TT.EQUITY,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125018025177098,0,0.0518403379955663,0,0.0869747527994957,0.043844889607439,0,0,0,0,0.317941197649619,0.166777094052423,0,0,0,0,0,0,0,0.367385207760151,0,0.0097166701185759,0,0,0.00274135707899956,0,0.0532161490890552,0,0,0,0,0,0
X600030.CH.EQUITY,0,0.241532091392153,0,0,0,0,0,-0.240901118156475,0,-0.0590526689390375,0,0,0,0,0.204755921686331,0,0,0,0,0,0,0,0.227594024380064,0,-0.0990083450611316,0,0,-0.0932621047115282,0,0,0,0,0,0,0,0,0,0.683471646416906,0,-0.01254893557465,-0.255148312273276,0,0,0,0,0,0,0,0,-0.208579201398212,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.601433803125738,0,0,0.0716257744999067,0,0,0,0,0,0,0,-0.0671115479604569,0.0622190653992542,0,0,0,0,0,0,-0.270221062026071,0,0,0,0,0.443967485396566,0,0,0,0,0,0,0.126148423514517,0,0,0,0,-0.0363054076033607,0,0.143141896659986,0
X601211.CH.EQUITY,0,0,0,8.31164090864152e-05,0,0,0,0,0.087360139710912,0,0.0827739949343085,-0.0486663608428503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1532937946291,0.186714270890558,0,0.453962239312135,0,0.09517165152438,3.18413796218924e-05,0,0,0,0,0,0,-0.0418914829771587,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0.0433235699047822,0,0,0.0255445663298945,0,0,0,0,0,0,0,-0.0995386200590636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00815443255387432,0,0.0938390465755147,0,0.343467965683604,0,0.574005478537155,0,0,0.0456335507771008,0,0,0,0,-0.0387963674166372,0.0777524007177215,0,0,0,0,0.0222339280453457,0
X2885.TT.EQUITY,0,0,0,0,0.0551468326935858,0,-0.0266278938831908,0,0.087038922994174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190529309161777,0.270968203257244,0,0,0,0.20201433342583,0,0,0,0,0,0,0,0,0,-0.132315459646485,0,0.050709921754609,0,0.136810355006201,0.116052596843066,0,0.0615115219071776,-0.0323633630791161
X601318.CH.EQUITY,0,0.0226263283868702,0,-0.0172989200618424,0,0,0,0,0,0,0,0,0,-0.0164621823916391,0,0,0,0,0.00945679182114803,0,0,0,0,0.148721737379785,0,0,0,0,0,0.139857799659734,0,0,0,0,0,0,0.153525343692987,0,0,0,0,0.281034855986534,0,0,0,0,0,0,0,0.0752862587164126,0,-0.11488665410807
X601319.CH.EQUITY,-0.111825955025309,0.0295151740996524,0,0,0,0,0,0,0,0,0,0.0685373316761523,0,0,0,0,0,0,0,0,0,0,0,0,0.171913886355373,0,0,0,-0.0274539736887825,0.0158415536436638,0,0,0,0,0,0.0322075247474227,0.0470969790136125,0,0,0,0,-3.46944695195361e-18,0,0.357667373241602,0,-0.126736378163714,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.154696939622434,0,0,0,0,0,0,0,0,0,-0.0346550493308806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592804002856184,0,0,0,0,0.0266990000086244,0,0,0.511909079871384,0,0,0.0685074095382455,0.235795704212008,0.128708993558373,0,0.0113798673122586,0,0,-0.0456592736989653,-0.0395307717193956,0.0721242152183669
X601601.CH.EQUITY,0,0,0,0,0.0161283827293089,0,0,0,0,0.30085614780068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174103306909057,0,0,0,0,0,0,0,0.0567876839228573,0,0,0,0,0,0.126927945205508,0,0.216982480732367,0,0,0,0,0,0,0.080887346193406,0.0366254127493783,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.00806611298992917,-0.119453340128458,0,0,0,0,0,0,0,0,0.193185180257093,-0.0586642497749163,0,0.0234297324006118,0,0,0.0776340623459816,0,-0.167173250641065,0,0,0,0,0,0.129445738365952,0,0.114470998061274,0,0,0.08795341756713,0.390602642418172,0,0,0,0.331610354163547,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.118571456595645,0,0,0,0,0,0,0,0,0,-0.144832319842464,0,0,0.490904200503608,-0.383072056576957,0,0,0.0495071058312798,0,0.0638836359686789,0,0,0.0471598210859464,0,0,0.0285114903251601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215540229855711,0,0,0,0.021420386973793,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291375655166492,0,0,0,0,0,0,0,0,0,0,0,0.00893297348648115,0,0,0.212206823442275,0,0,0,0.0994680995309004,0,0,0,0,0,0,0.00636840652553517,0,0.280354077240161,0,0.0810831364495985,0.0808233074875267,-0.0859609485519764,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0.00958544483238381,0.00466821122891488,0,0,0,0,0,0,0,0,0.0266477123492487,0,0,0,0,0,0,0.0831760030607042,0,0,0,0,0,0.138290316572823,0.0312079710113413,0,0,0,0,0,0,0,0,0,0,0.0261286425255042,0,0.482918501154151,0,0.0742074965764753,0.147767646886737,0,0.112627181390844,0
X2883.TT.EQUITY,0,0,-0.0537582410334456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0692021079091512,0,0,0,0,0,0.0380293015970496,0.172285800238106,0.00676243269239984,0.148278754420858,0.157313272270271,0,-0.102640431960241,0,0,0,0.00223887145743059,0,0,0,0,0,0,0,0,0,0.169583022951914,-0.0769277482081724,0,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0121747476196829,0.0632955559950059,-0.0187619222699797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767149791979045,0,0,0.22113694101161,0,0,0.0473630723099202,0,0,-0.0181611344495839,0,0,0,0,0,0,0,0,0,0,0,0.387474731181505,0,0,0,0,-0.0706075981903034
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137506081141901,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.204517503454223,0,0.331661781455222,0,0,0,0,0,0,0.0540141044238795,0,0,-0.0271904951448732,0,0,0,0.0256321657759084,0.0852001787926046,0,-0.00892023039435044,0,0,0,0.0568489159359767,0
MKRturn,0,-6.93889390390723e-18,0,0,0,0,0,0.137682862574002,0,0,0,0,0,0,-0.0231583363992956,0,0,-0.175203615694581,0,0,0,0,0.170159312780251,0,0.219405479297531,-0.160089850209112,0,0,0,0,0,0,-0.276272552203931,0,0,0,0,-0.00694686554741955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RealEstateDiff,0,0.00227436944226042,0,0,0,0,-0.0446981461112267,0,0,0,0,0,0,0.202886257785556,0,0,0,0,0,0,0,0,0,-0.162049920780985,0,-0.239160125702114,-0.137628790484673,0,-0.148573665825674,0,0,0,0,0,0,-0.0069221525338006,0,3.46944695195361e-18,0.18043989523781,0,0.322327772140911,0.121757727176129,0,0,0,-0.0322367349889244,0,0,0,0,0,0
