,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X1997.HK.EQUITY,0.187971742888119,0,0,0,0,0.0638860401024671,0,0,0,0,0,0,0,-0.219818165775942,0,0,0,0.100154707972527,0.257572912459541,0,0,0,0,0,0.248738266063227,0,0,0.00565643023845917,0.114866057924538,0.593293146224921,0,0,0.0311027533172813,-0.345374477389279,0,0,0,0,0,0,0,0,0,0,0,-0.00752602569132029,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0.148209310292993,0,0,0,0,0,0,0,-0.121683880214475,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0494341998706646,0,0.0517546038224536,0,0,0,0,0.0231284501791319,0,0,0,0,0,0,0,0,0,0.23621466457319,0.102387189126662,0,0
X000166.CH.EQUITY,0.00209438668690977,0,0,0,0,0,0,0,0,0,0,0,0.279284785997351,0,0,0,0,0,0,0,0,0,0,0,0,0.0124933460209851,0,0,0.0491197110783945,0,0,0,0,0,0.0886307407321268,0,0,0,0,0,0,0,0,0,0,0,0,0.115023472434949,0.383703768932295,-0.050420457281357
X600015.CH.EQUITY,0.00694702445880113,0,0,0,0,0,0,0,0,0,0,0.131493828129894,0,0,0,0,0,0.0385574046230648,0,0.180590472485601,0,0,0.049768147470939,-3.46944695195361e-18,0.0323596122589824,0,0,0.0601122264361185,0.0720882897236831,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0274001319981891,0,0,0,0.453776522048791,0,0,0.106377358124585,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,-0.319744251423806,0,0,0,0,-0.134288580544323,0,-0.0819220601245389,0,0,0.0531670335185696,0,-0.101832400731819,0.0641932118946613,0.0436443947463833,0,0,0,0,0,0,0.100218281389706,0,-0.132314095226746,0,0.478718742999468,0,0,0,0,0,0,0,0,0,0.866238442331344,0,-0.0886544251178901,0,0,0,0
X002736.CH.EQUITY,0,0,0.104758820375209,0,0,0.0213391278700314,0,0,0,0,0.127343225013741,0,0,0,0.161303602333629,0,0,0,0,0,0,0,0.0174700942021134,0,0,0,0.0856302059973,0,0,0,0,0,0.0649865488838449,0,0,0,0,0.117179668767917,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.374214075325877,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.293742990117116,0,0,0,0,-0.767251853094011,0,0,-0.103055736862706,0,0,0,0,0,0,-0.161402877928017,0,0,0,0,0,0,0,0,-0.522216368185145,0,0,0,0.0527595763328827,0.621443661360794,0.304234633811377,0.45629442324943,0.358549795558725,0,0.205029857985875,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055965642512582,0,0,0,0.294032467996152,0,0,0,-0.0160855954516628,0,0,0,0.081662614034627,-0.0360185407812102,0,-0.181544958803033,0,0,0,0,0,0.352178812463557,0,0,0.0971172173954415,0,0,0,0.0571572544033959,0,0.0236035126227318,0,0.268072224799986,0,0,0.0973255510809009,0
X300059.CH.EQUITY,4.33680868994202e-19,0,0,0,0,0,0,0.0266188037424713,0,0,0,0,0.118925016309229,0,0,0,0,0,0,0,0,0,0.133715831024395,0,0,0,0,0,-0.0372462636465505,0,0,0,0,0.0728300628958254,0,0.460969796637029,0,0,-4.33680868994202e-19,0,0,0.0350883156523931,0,0,0,0,0,0,0,-0.0568762457049634
macro_return_add,0,-0.0934650803963827,0,0,0.159237936765947,0.00124780914413771,0,0,-0.000928680615196659,0,0,-0.016470108134465,0,0,0,0.0347233833159051,0,0,0,0,-0.148860412498205,0,0,0.733124741134999,0,0,0,0.00664320783170538,0,0,0,0,0,0,0,0,-0.0937259663881424,0.0438643345545219,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
