,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601166.CH.EQUITY,0,0,0.0260038574881153,0,0,0,0.427670190654315,0.0424366202079961,0,0,0,0,0,0,0,0,0.0106818975705985,0,0,0,0,0,0,0,0,0.089713613088573,0,0,0.390495445249027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.130624667272197,0.0582551812060466,0,0,0,0,0,0.38553076780146,0,0,0,0,0,0,0,0,0,0,0.154604261187657,0,-0.110063359724835,0,0,0,0,0,0,0,0.0330359049629756,0,0,0,0.0835818399359634,0,0,0,0,0,0,0.0203724875274784,0.0791871387502968,0,0,0,0,0.0507778178411508
X600000.CH.EQUITY,0,0.150567490160143,0,0,0,0,0.189491103665479,-0.0279995238265108,0,0,0,0.479050408814503,0,0,0.0977166821564159,-0.0971393824321737,0,0,0,0,0,0,0,0,0,-0.123576993400755,0,0,0.0579490503443111,0,0,0,0,0,0,0,0,0,0,0,0,0.0701172900882255,0,0,0,0.103619252393094,0.154545740735942,0,0,0,0
X000002.CH.EQUITY,0.0514668810661205,0,0,0,0,0,-0.143233887403691,0,0,0,0,0,0,0,0,0.128396616921449,0.0881424217827013,0,0,0,0,-0.072460199197412,0,0,0,0,0,0.085213959666199,0,0,0.56694637325215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464972215972203,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.269202899672824,0,0,0,0,0,0.114333908679696,0,0,6.93889390390723e-18,0,0,0.0813256949791953,0,0,0,0,0.0240977115084971,0,0,0,0.151282141087804,0.20034636310011,0,0,0,0,-0.0786133010673315,0.282984950581259,0,0,0,-0.259344531334685,0,0,0,0,0,-4.33680868994202e-19,0.113022054148101,0.135685586649254,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.045679279383585,0,0,0,0.169512085938751,0.294377366080452,0,0.211795952798364,0,0,0,0,0,0,0,0,0,0.0176036237442277,0,0,0,0,0.0832189344917304,0.0568419733782509,0.119537371302395,0.0247376141018932,0,0,0,0,0,0,0,0.0481389446193977,0,0,0,0.0967382046355721,0,0,0,0,0,0,0,0,0.162766353874045,0
X388.HK.EQUITY,0,0,0.0818062706096263,0.0352855842832943,0,0,0,0.0611923196962509,0,0,0,0,0,0,0,0,0,0,-0.0764943508127654,0,0.0806143703157469,0.185781443442504,0,0,0.266039315454419,0,0.0991330923643772,0,0,-0.00937484782917135,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0.223243919756335,0,0,0,0,0,-0.118921125673504,0,0,0,0,0,0,0,0,0,0,0.0393931596853266,0,0,0,0.327626752289676,0,0,0,0,0,0,0.232209106319593,0,0.1560801929403,-0.0740995871733409,0,0,0,0,0,0,0,0.0399587613146155,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117653071391956,0.111441860760879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804188616527874,0,0,0.20117160418338,0,0,0,0.0797371299244733,-1.38777878078145e-17,0,0,0,0,0.232160750044939,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057987555175447,0,0,0,0,0,0,0,0.347653336355662,0,0,0,0.0342664625792839,0,0,-1.73472347597681e-18,0,0,0.0198949001906079,0.0574203812734093,0.110705489455773,0
