,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X267.HK.EQUITY,0,0,0,0,0,0,0,0.0495351465754031,0.0244782587998528,0,0,0,-0.294311958923543,0,0,0,0,0,0,0,0,0,0,0,0,0.0951359706923506,0,0.0223817689450005,0.123043979204504,0,0.24910726354446,0.200307217087414,0,0,0,0,0.0969988944998452,0,0,0.18844671295548,0,0.243926845471094,0,0,0,0.0572095037040076,0,3.46944695195361e-18,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0429660505060576,0,0,0,0.193032099899879,-0.393089365672543,0,0,0,0,0,0,0,0,0,0.181929231171177,-0.0291254201304536,0,0,0,0,0,0,0.0423213204767536,0,0,0.523817836273694,0,0,0.0302367427425494,0,-0.0270966022161292,0,0,0,0,0,0,-0.0010357192246625,0,0,0,0.0751678611694105
X600837.CH.EQUITY,0,0,0,0.0147617464476314,0,0,0,0,0,0,0,0.23717763194549,0,0,0,0,0,0,0.0586777172146771,0,0.00967495882517414,0,0,0,0,0,0,0,0,0,0,0,0.46699610489328,0,0,0,0,0,0,0,0,0,0,0,0,0.0169370595673373,0,0,0,0.107022964095474,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425531332726437,0,0,0,-0.152610650026615,0,0,0,0,0,0,0,0,0,0.294194510932963,0.0630131711364865,0,0,0,0,0.0754369241301007,0,0,0,0.00138929699916147,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.0438019668556675,0.0903169499972922,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.150364166199733,0,0,0,0,0.0893426513789606,0,-0.122411301280786,0,0,0,0,0,0.219154682100637,0,0.126401520448131,0,0,0,0,0.0852172357622232,0,0,0.050600818971265,0,0,-0.0133548058557073,0.028777653649175,0,0,0.0143983318237992,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.383880738297412,0,0,0,0,-0.16388011490686,0,0,0,0,0,0,3.46944695195361e-18,0,0.289472722947037,0,0.0355730374555142,-0.134861001993418,0,0.0169520631939283,0,0,0,0,0.4240396300966,0,0.341797830831942,0,0.130197516203885,0,0,-0.504463141733706,0,0,0,0.169576124009932,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0.0018305279125767,0,0,0,0,0,0,0.283057320904752,0,0.00971607102114406,0,0.139983840054184,0.0246653972258266,0,0,0,0,0,0,0,0,0.0897170823358753,0,0,0,0,0,0,0,0,0.129218467873805,0,0,0,0,0,0,0,0.203587847480077,0,0,0,0,0,0.0771195359387079,0,0,-0.0291683822380748
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0719305423497137,0,0,0,0,0,0,0.057816378293899,0.715769756773882,0,-0.0120062992688881,0,0,-0.0379417743203558,0,0,-0.0643063591938887,0.0521930487621805,0,-0.0585548296087398,0,0,0,0,-0.0494771387629346,-0.0332302323365031,0,0,0,0,0,0,0,0,-0.0366779460557194,0.0172267259821227,0,0,0,0.172773083887194,0,0,-0.0658151467901951
X12.HK.EQUITY,0,0,0,0,0,0,0.146337210370476,0.0548553672045356,0,0,0,0,0,0,0,0,0,0,0,0,0.507601441094791,0,0,0,-0.156140963904729,0,0.162509692490262,0,0,0,0.167292300702836,0,0,0.169685106702567,0,0,0,0,0,0.0182672397220457,0,0,0,0,0,-0.157259697707336,0,0.0171307516499726,0,0,-0.054685639305524,0
X000166.CH.EQUITY,0,0,0.0579809427433793,0,0,0,0,0.0994610426997409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32529443577088e-05,0.0320389167939537,0,0.0173464662604459,0.233676208022003,0,0.252155437452181,0,0,0,0,0,0,0,0,0.146859971453541,0,0,0.0454787321948566,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.089681628790182,0,0,0,0.2927658029958,-0.085718275991799,0,0,0,-0.111242908568898,0,-0.115512618609527,0,0,0,0,0,0,0,0,0,0.0147255108192355,-0.143428073503542,0,0,0,0,0,0,0.0643415846728574,0,0,0,0,0,0,0.0787635552631741,0,0.75925656252552,0,0.0702684105532268,0,-0.110804566473964
X601229.CH.EQUITY,0.00422829320027742,0,0,0,0,0.278253458235681,0,0,0.2502421806898,0,0,0,0,0,0.113191852529784,0,0,0,0,0,0,0,0,0,0,0,0,0.047232468254454,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354147040576108,0,0,0,-0.0267763719405819,0,0
X823.HK.EQUITY,0,0.148999718747937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0338417514322119,0,0,0,-0.135139043468148,0,0,-0.0921294945501921,0.130924016256517,0.0161471756048977,0,0,0,0.0760714582216765,0,0,0,0,0.454376779459305,0,0,-1.38777878078145e-17,0,0,0.234207665067158,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482998671706365,0,0.150075049873878,0,0,0,0,0,0.0121104622674746,0,0,0,0,0.160129739264922,0,0,0.0731595360870861,0,0,0,0,0,0,0.150122469054607,0,0,0,0,0,0,0,-0.012212100789821,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.0692394889255649,0,0,0,0,0,0,0,0,0,0,0,-0.304103810202145,-0.0363548724263611,0,0,0,0,0.0502419414475584,0,0,0,0,0,0,0,0.015079084386155,0.120375915078012,0,0,0,-0.0786621473544308,0.10983893427894,0,0,0.15598119194635,0.600526894121758,0,-0.056470497947618,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.771929372204608,0.0305048839769163,0,0,0,0,0,0,0.099959279351803,0,0,0,0,0,0.00646418231228537,0,0,0.0657654208374955,0,-0.021861054399043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038467166036921,0.0380883440780864,0,0,0,0.00332795371894481,0,0,0,0,0
X600918.CH.Equity,-0.0618379634271537,0,0,0,0,0,0,0.090051744503261,0,-0.01469424964662,0,0.320050803795191,0,-0.0161795664576918,0,0,0,0,0,0,0,0,0,0,0,-0.188721803519292,0,0,0,0,0,0.0523492459101925,0.0172105047534444,0,0,0.0986902623535905,0,0,0,0,0,0,0.075844158287843,0,0,0,0.526910548174701,0,0,0,0.0878265498544565,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,-0.0050395231964408,0,0,0,-0.0873062994753932,0,0,0,-0.0854802625876438,0,0,0.0761240835612425,0.00130129719512371,0,0,0,0,0,0.16510953973879,0,0,0,0,0,-0.14241919061876,0,0,0,0,0,-0.176516547475473,0,0,0,0,0.307552507069297,0,0,0,0,0.083857610533114,0,-0.356360491497506
VXFXI.INDEX,0,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.0494538428497043,0,0,0,0,0,0,0,0,0,0,0.0864373073628541,0,0,0,0,0,0,-0.0318588251132173,0,-0.39872928706765,0,0,0,0.128538194195177,0,0.101175858872718,0,0,0,0,0,0,0,0,0,0,0,-0.291121389174008,0,0.0445596775833952,-0.0345581210809626,0
