,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X002142.CH.EQUITY,0,0.199648514261265,0,0,0,0,0.722115664777246,0,0,0.148078896781073,0,0,0,0,0,0,0,0.0214868295410058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256556677360082,0.264861669118072,0,0,0,0,-0.0513153872227519,-0.0514477088721699,-0.126003204344867,-0.0420188606025855,-0.0187221655997381,-0.0732477393753625,0
X823.HK.EQUITY,0,0,0,0,0,0.123019637794274,0,0,-0.130942725210913,-0.0127660688126298,0,0,0,0,0,0.105807105262777,0,0,0.110008128717274,0,0,0,0,0,0,0.0479633737315032,0,0,0,0,0,0,0,0,0,0,0,0,-0.0686504067621209,0,0,0,0.646465796189025,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181937807680221,0.232254570742939,0,0,0,0,0,0,0,0,0.0154969413299064,0.156395243668751,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.156774115431145,0,0.255618635305699,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0.119099116806656,0,0,0,0.00342470278649695,0,0,0,0,0,-0.0356947213526209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300505208331711,0,0,0,0,0.179907615305415,0.459875051419841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281472189768177,0,0,-0.0200730863421524,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00546725874108179,0,0,0.288061368294229,-1.73472347597681e-18,0,0,0,0,0,0,0.023763057190785,0,0,0,0,0,0,0,0,0,0.0702654720248703,0,0,0,0,0,0,0.046657695541885,0,0,0,0,0,0,0.238600852111719,0.130505915825699,0,0.163579441183687,0,-0.0148620747972337,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0281525606641385,0.225002451942897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399809851297721,0,0,0,0,0.208173882617941,0,0.0626108494756336,0,0,0,0,0,0,0,0,0.0172618842317556,0,0,0,0.144786103599562,0,0,0.0934866138812838,0,0
X601336.CH.EQUITY,0,0,0.0602559113154582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949571068898732,0,0,0.0306411027971457,0,0,0,0,0.0150492784411974,0,0,0,0.0023046195858556,0,0,0,0,0.0793339439550948,0,0,0.274716952031942,0,0,0,0,0,0,0.263377706791739,0,0,0.127684076509331,0,0,0,0
X601229.CH.EQUITY,0,0,0.0750935852827709,0,0,0,0,0,0,0.140875466757029,0,0.403209706448116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531206002797203,0,0.171051293744289,0,0,0,0.18267373995688,0,0,0,0,0,0,-0.10646317547313,0,0
X1997.HK.EQUITY,0,0.0845552008960715,0.0715866179681921,0,0,0,0,0,0,0,0,0,0.0506219652237465,0,0,1.38777878078145e-17,0,0,0.0110878603427662,0,0,0,0,0,0,0.0806590851600084,0,-0.0371730566851417,0,0,0,0.157395826064177,0.42306503406284,0,0,0,0,0,0,0.0714915125445468,0,0,0,0,0,0,0,0,0.0228102937767452,0,0,0
X601169.CH.EQUITY,0.220074871109302,0,0,0,0,0,0,0,0,0,0.0582665525519007,0.0621529389722812,0,0.239068577672009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139754504799372,0.130253019268789,0,0,0.180349345976867,0,0,0,0.0547261389776039,0,0,0.0403537917177922,0,0,0,0
X600015.CH.EQUITY,0,0,0.00859413319140205,0,0,0.0219401245102335,0,0,0,0,0,0,0,0.365457861280903,0,0.000845427592215791,0,0,0,0,0,0,0,0,0.173433221014057,0,0,0,0,0,0.0693292629941574,0,0,0,0,0,0.0754783593210858,0,0.0699228633897952,0,0.0195340377304735,0,0,0.140899514090572,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,2.16840434497101e-19,0,0,0,0,0.0948442148083928,0,0,0,0.044309598963745,0,0,0,0,0,0,0,0,0,-0.0131403656662785,0,0,0,0,0,0,0,0.0524270929440136,0,0,0,0,0,0.0458742996335896,-0.137529832311117,0,0.326250633374679,0,0.0810307734307648,0,0,0,0,0,0,0,0,0.42401342074128,0,0,0,0
X2881.TT.EQUITY,0,0.131423839224838,0.111282972193365,0.00364429514102117,0,0,0,0,0.165877838523651,0,0,0,0,0,0.0278457217625847,0,0,0,0,0.0497226916018452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166608796124863,0,0,0,0,0.163423821698008,0,0,0,0,0,0,0,0,0.0474571634292246,0.0398255292443139,0,0
X000166.CH.EQUITY,0,0,-0.0727765978931529,0,0,0,0,0,0,-0.0088981440013283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00844804105676491,0,0,0.0670529293991572,0,0,0,0.505700302733107,0.0791256025436767,0,0,0,0,0.156701153202015,0,0.270123301522908,0,0,0,0,0,0
X2891.TT.EQUITY,0,0,0.625000885307473,0,0,0,0,0,0,0,0,0,-0.0437078382684451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603095974394997,0,-0.0201912320794041,0,0,0,-0.0830246263986011,0,-0.0831016179208854,0,0,0,0,-0.0503602423557457,-8.67361737988404e-19,0,0,0,0,0,0,0,0.595728799445505,0,0
X2886.TT.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.212627723898181,0,0,0,0.01912866802181,0,0,0,0,0,0,0,-0.00278466136519966,0,0,0,0,0,0,0,0,0,0,0,-0.0250352835387471,0,0,0,0,0,0,0,-0.0147119608567603,0,0,-0.0579233398082223,0.684098786343599,0,0.115630793879522,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.163029015234691,-0.0637996232978675,0,0,0,0,0,0,0,0,0,0,0.0321920503665289,0,0,0,0,0,0,-0.0607554059650605,0,0,0,0.0282185998741485,0,0,0,0.0403240733826349,0,0,0,0,0,0,0,0,0,0,0,0,0.026928411031213,0,0,-0.766300996566963
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,-0.0358524450989484,0,0.110841284695374,-0.029187988131118,0,0,0.085181410604567,0,0,0.0759671415362831,0,0.0253915375162399,0,0,0,0,0,0,-0.0551994939891107,-0.257886050974863,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00630191448106956,0,0,0,0.155976985916337,0,0,0,-1.07341608100109,0
