,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601229.CH.EQUITY,0,0,0,0,0.139735385889405,0,0,0,0,0.042366132119236,0.0419895055688421,0.0558023140912272,0,0.23227490097062,0,0,0,0,0,0.13112461095319,0,0,0,0,0,0,0,0,0,0.043207560750588,0.0226799615603951,0,0,0,0.150982027969329,0,0,0,0,0,0,0,0,0.128295179126921,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0.0878302050368066,0,0.0215161384046737,0,0,0,0,0,0,0.515054396720372,0,0.229978109780729,0,0,0,0,0,0,0,0,0,0.0131521686337489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.089286153690263,0,0,0,0,0,0,0,0,0,0,0.139806243682191,0,0,0,0.0454666357213104,0,0.204626783287992,0,0,0,0,0,0,0,0,0,0.115913484581711,0.0187130427600512,0,0,0,0,0,0,0,0.0425992562497365,0,0,0,0,0,0.333528270098295,0,0,0
X2882.TT.EQUITY,0,0,0,0,-0.226112884235897,0.256582380455417,0,0,0.140977463077068,0,0,0.224922882904101,0.0722343029989531,0,0,0,0,0,0,0,0,0,0,0,0,-0.159792734469227,0.118716032470557,0.0279350526225207,0,0,0.332769999869242,0,0,0,0.00979399137131299,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.153390627115722,0.202621116032452,0
X600015.CH.EQUITY,0.00653377856146735,0,0,0,0,0,0,0,0,0,0.346446441619677,0,0,0,0,0,0,0,0,0,0,0,0.0996140273801014,0,0,0,0,0,0,0.107544656202322,0,0,0,0,0,0,0,0.013521833194304,0,0,0,0,0,0,0.0197483124409981,0,0.342618741629016,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201905971977897,0.137593116145964,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446472633125943,0.116129396965341,0,0,0,0,0.299703835646122,0,0.20741678267483,0,0,0,0,0.187638830434866,0,0,0.0363104842020623,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610117096120307,0,0,0,0,0,0,0,0.00724082191296686,0,0,0,0,0,0,0.018853794640802,0,0.0461505838373297,0,0,0,0,0.218103516380459,0,0,0.15176373373983,0.00413941216238066,0,0.2899581108676,0,0,0,0.111849086104238,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362239387644639,0,0,0,-2.16840434497101e-19,0.0793621813006077,0.0955319800980947,0,0,0.167160783504975,0,0,0,0,0,0,0,0,0,0,0.0296790525782114,0,0,0,0.070258234704525,0.00699874436365382,0.223987859700077,0,0.0439869177659578,0,0.198976398330361,0,0,0,0,0.0840286470816006,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0504722251376852,0,0.110737543182444,0,0,0,0,0,0,0,0,0,0,0,0.0280595861975653,0,0,0,0,0,0,0,0,0,-0.0460173952952905,0.112238888893248,0.318930404164145,0,0,0,0,0,0.0496169920930217,0.321600882595349,0,0,0.0474707703072554,0,-0.0100281269190065,0
X002736.CH.EQUITY,0,0,0,0,0.0368516303755335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118054654324543,0,0,0,0,0,0,0,0,0,0,0,0,0.318995376690041,0,0,0,0.0843938798005563,0,0,0,0.132151780890238,0,0,0,0,0,0,0,0.257807671157558,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0.28026512864764,0,0,0,0,0,0,0.265436889331026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161546656365051,0,0,0,0,0,0,0,0.110168282347034,0,0,0,0,0,0.192620188260668,0.36542091139494,0,0,0,0,0,0.0537604671697871,0,0,0
FXI.US.EQUITY,0,0,0,0,0,-0.167469842085372,0,-0.032057729906653,0.279999982348441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158381712236943,0.0346657037520234,0,-0.173212722414367,0.185970317862225,0,0,0,0.0264019670111438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00702758938829
VXFXI.INDEX,0,0,0,0,0,-0.182730194113304,0,-0.00431704986962948,0.28868175185451,-0.0497197284540285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138622259052553,0,0.0226155683875686,-0.180899439569925,0.175924758101312,0,0,0,0.0288055987790119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.969206108334211,0
