,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600999.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262265889698845,0,0,0,-0.0997057717959871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909630529346093,0,-0.00903867523139136,-0.0433437215726393,0,0.677736817823523,0,0.0390039435743842,0.055194071061031,0,-0.142245516032374,-0.199656171339702
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0351349011980497,0,-0.0747411375607509,0.221960843070503,0,0,0,0,0,0,0,0,0.264126387084496,0,0,0,0,0.282800889329378,0,0,0,0,-0.000357086285572481,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,4.33680868994202e-19,0
X12.HK.EQUITY,0,0,0,0,0,-0.145211390358325,0,0,0,0.24611894588724,0,0,0,0,0.00218846458849517,0,0.162282449847996,0,0,0,0.0556152706830608,0,0,0.0408795217669889,0.137771218832769,0,0,0,0,0.00499155591342744,0,0,0,0,0,0.124639307899499,0,0,0,0,0.139398276345387,0,0,0,-0.0453860299671291,0,0,0.123139488221402,0,0,0.266182817783384,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0990405991894633,0,0,0,0,0,0,0,0,0.107185637798566,0,0,0,0,0.0919304594923161,0,0.0350243239953964,0,0,0.06621863188967,0.0239031151079983,0,0,0,0,0,-0.240101359554032,0,0,0,0,0,0,0,0,0,0,0,0.177563818921806,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0.182497015359946,0,0,0,0,0,0,0,0,0,0.145487207456335,-0.055428640492468,0,0,0,0,0,0.341545187544735,0,0,0,0,0,0,0,0,0,0,0,0,0.0918832043056446,0,0,0,0,0,0,0,-0.0707336208974242,0,0,0.338043243541188,0,0,0.0540244445039667,-0.109801498394714
X600837.CH.EQUITY,-3.00198344059012e-05,0,0,-0.0400007815108186,0,0,0,0.0272888228951035,0,0,-0.169115735090541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666574850442125,0,0,0,0,1.73472347597681e-18,0,0,0,0.36629082481068,0,0.162859716842309,0,0,0,0,0.137085761872256,0,-0.061663396500481,0,0,0,0,0,0,0.408296188620555,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,-0.165418160017495,0,-0.056751598564355,-0.175151299753228,0,0.407304007882642,0,0,0.15836732610043,0,-0.155470015922853,0.197307896801781,0,0,0,0,0,0.0864732291478358,1.38777878078145e-17,-0.105982569824301,0,0,0,0.191791084311674,0,0.199713875637971,0,0,0,0,0,0,0,-0.361021587633313,0,0,0,0,0,0,0,0,0.246521834428504,0.127028314260187
X601336.CH.EQUITY,0,5.42101086242752e-20,0,0,0,0,0,0.0631990652409034,0,0,0,0,0,0,0,0.00950280120248977,0,0,0,0.335981309995018,0,0,0,0.235096859834065,0.0041310555576095,0.0749049327768926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00817710303573486,0,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119833916539526,0,0.0706380754172941,0,0.0741928296551522,0,0,0,0.164272427182763,0,0,0,0,0.0542172054163323,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.03829687442033,0.174805287085087,0,0,0,0,0,0,0,0,-0.0902346914872892,-0.0993430133520691
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037957499124966,0.0113068394731144,0,0,0,0,0,0.0805534043080941,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332565880879654,0,0.443108507010012,0,0,0,0,0,0,-0.0128165630250854,0,0,0,0,0.278485921167454,-0.00657698381744408,0.16767090612053,0
X601169.CH.EQUITY,0.0448943917603309,0.245765900242037,0,0,0,0,0,0,0,0,0,0,0,0.025604439089096,0,0,0.0810010861665888,0,0,0,0.15875326606606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41593548448261,0,0,0.0760268128153905,0,0,0,0,0,0,0,0,0,0,0,0,0
X1997.HK.EQUITY,0,0,0.05117867911934,-0.0685454685716908,0,0,0,0,0.365806588875466,0.104883065338749,0,0,0,0,-0.0855339394321912,0,0,0.151368624154799,0.148301217130728,0.171087191298308,-0.273554546529619,0,0,-0.00215492218969421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310319968700411,0,0,0,0,0,0,0,0,0,0.000581373642058666,0
X2886.TT.EQUITY,0,0.115659755428302,0,0,0,0,0,0,0.150636404157784,0,0.0237403367527272,0,0.365528097785256,0,0,-0.0817583113587733,0,-0.0505470723746142,0,0,0,0,0,0,0,0,0,0,0.0226789403002207,0,0,0,0.00215108868421298,-0.0318760493983595,0,0,0,0,0,0,0,0,0,0,0,0.430782636565941,0,0,0,0,0.195926737089489,0
X000776.CH.EQUITY,0,0,0,0,0,0,0.0514205506128694,0,0,0,0,0,0,0,0.00619497189618662,0.148571081875241,0,0,0,0,0,0,0,0.0225314165260155,0,0,0,0,0,0,0,0.0145041192530686,0,0.219923403915531,0,0,0,0,0,0.0161843084505808,0,0.317267423253326,0.00275152265192357,0,0.259332229936172,0,0,0.00667222096772345,0,0,0,0
FXI.US.EQUITY,0.293341250880249,0,0,-0.195667920782996,-0.213456357517584,0,0,0,0,0,0,-0.278735186434195,0,-0.269741811846283,0.139331180285047,0,0,0,0.556706728806938,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218610599755072,0,-0.0387819454402742,0,0,0,0.0771890748736017,0,0.257718100882114,0,0.122828387034671,-0.0496947561211099,0,0.149674152431459,0,0,0.251345094293281,0,0,0
CN2YR,0,0.0108895396166049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148523891132331,-0.0694913164110105,-0.157094193598105,0,0,0,0,-0.119337256309497,0.127806865025131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137024585433807,0,0,-0.208405199081543,0
